   W         E0+(eta_p)
 (MeV)      Re         Im
 1486.0  -11.489533  -9.999619
 1487.0  -11.341521 -10.096889
 1488.0  -11.193510 -10.194159
 1489.0  -11.045498 -10.291428
 1490.0  -10.897486 -10.388698
 1491.0  -10.749474 -10.485968
 1492.0  -10.601462 -10.583237
 1493.0  -10.453451 -10.680507
 1494.0  -10.305439 -10.777776
 1495.0  -10.157427 -10.875046
 1496.0  -10.003415 -10.972343
 1497.0   -9.849404 -11.069641
 1498.0   -9.695392 -11.166938
 1499.0   -9.541380 -11.264235
 1500.0   -9.387368 -11.361532
 1501.0   -9.221783 -11.448076
 1502.0   -9.056197 -11.534621
 1503.0   -8.890612 -11.621165
 1504.0   -8.725026 -11.707709
 1505.0   -8.559441 -11.794253
 1506.0   -8.383535 -11.864271
 1507.0   -8.207628 -11.934289
 1508.0   -8.031722 -12.004306
 1509.0   -7.855816 -12.074324
 1510.0   -7.679909 -12.144341
 1511.0   -7.497118 -12.194508
 1512.0   -7.314326 -12.244674
 1513.0   -7.131535 -12.294840
 1514.0   -6.948744 -12.345006
 1515.0   -6.765952 -12.395172
 1516.0   -6.580494 -12.424035
 1517.0   -6.395036 -12.452898
 1518.0   -6.209578 -12.481762
 1519.0   -6.024120 -12.510625
 1520.0   -5.838661 -12.539488
 1521.0   -5.654773 -12.547136
 1522.0   -5.470884 -12.554784
 1523.0   -5.286996 -12.562433
 1524.0   -5.103108 -12.570081
 1525.0   -4.919219 -12.577730
 1526.0   -4.740674 -12.565455
 1527.0   -4.562129 -12.553181
 1528.0   -4.383584 -12.540906
 1529.0   -4.205039 -12.528632
 1530.0   -4.026494 -12.516357
 1531.0   -3.856322 -12.486275
 1532.0   -3.686149 -12.456193
 1533.0   -3.515977 -12.426111
 1534.0   -3.345804 -12.396029
 1535.0   -3.175632 -12.365947
 1536.0   -3.016012 -12.320634
 1537.0   -2.856392 -12.275322
 1538.0   -2.696772 -12.230009
 1539.0   -2.537152 -12.184696
 1540.0   -2.377532 -12.139383
 1541.0   -2.229818 -12.081559
 1542.0   -2.082105 -12.023734
 1543.0   -1.934391 -11.965910
 1544.0   -1.786678 -11.908086
 1545.0   -1.638964 -11.850261
 1546.0   -1.503791 -11.782555
 1547.0   -1.368618 -11.714848
 1548.0   -1.233445 -11.647142
 1549.0   -1.098273 -11.579435
 1550.0   -0.963100 -11.511728
 1551.0   -0.840533 -11.436518
 1552.0   -0.717965 -11.361307
 1553.0   -0.595398 -11.286096
 1554.0   -0.472831 -11.210886
 1555.0   -0.350264 -11.135675
 1556.0   -0.239957 -11.054998
 1557.0   -0.129650 -10.974320
 1558.0   -0.019343 -10.893642
 1559.0    0.090964 -10.812965
 1560.0    0.201271 -10.732287
 1561.0    0.299938 -10.647849
 1562.0    0.398604 -10.563410
 1563.0    0.497271 -10.478972
 1564.0    0.595937 -10.394533
 1565.0    0.694604 -10.310094
 1566.0    0.782354 -10.223155
 1567.0    0.870105 -10.136216
 1568.0    0.957856 -10.049277
 1569.0    1.045607  -9.962338
 1570.0    1.133358  -9.875399
 1571.0    1.210991  -9.786998
 1572.0    1.288625  -9.698596
 1573.0    1.366258  -9.610195
 1574.0    1.443892  -9.521794
 1575.0    1.521525  -9.433393
 1576.0    1.589795  -9.344266
 1577.0    1.658064  -9.255138
 1578.0    1.726334  -9.166011
 1579.0    1.794604  -9.076883
 1580.0    1.862873  -8.987755
 1581.0    1.922446  -8.898440
 1582.0    1.982018  -8.809125
 1583.0    2.041590  -8.719810
 1584.0    2.101163  -8.630495
 1585.0    2.160735  -8.541180
 1586.0    2.212161  -8.452087
 1587.0    2.263587  -8.362995
 1588.0    2.315013  -8.273902
 1589.0    2.366439  -8.184810
 1590.0    2.417864  -8.095717
 1591.0    2.461569  -8.007229
 1592.0    2.505273  -7.918741
 1593.0    2.548977  -7.830253
 1594.0    2.592681  -7.741765
 1595.0    2.636385  -7.653277
 1596.0    2.672721  -7.565922
 1597.0    2.709056  -7.478567
 1598.0    2.745391  -7.391213
 1599.0    2.781726  -7.303858
 1600.0    2.818061  -7.216503
 1601.0    2.847620  -7.131455
 1602.0    2.877178  -7.046408
 1603.0    2.906737  -6.961360
 1604.0    2.936295  -6.876313
 1605.0    2.965854  -6.791265
 1606.0    2.999285  -6.709693
 1607.0    3.032717  -6.628120
 1608.0    3.066149  -6.546548
 1609.0    3.099581  -6.464976
 1610.0    3.133013  -6.383404
 1611.0    3.150502  -6.289045
 1612.0    3.167992  -6.194687
 1613.0    3.185481  -6.100328
 1614.0    3.202971  -6.005969
 1615.0    3.220460  -5.911611
 1616.0    3.227659  -5.824414
 1617.0    3.234858  -5.737217
 1618.0    3.242057  -5.650020
 1619.0    3.249256  -5.562824
 1620.0    3.256455  -5.475627
 1621.0    3.255052  -5.392094
 1622.0    3.253648  -5.308562
 1623.0    3.252244  -5.225030
 1624.0    3.250840  -5.141497
 1625.0    3.249436  -5.057965
 1626.0    3.239260  -4.978626
 1627.0    3.229085  -4.899288
 1628.0    3.218909  -4.819949
 1629.0    3.208733  -4.740611
 1630.0    3.198558  -4.661272
 1631.0    3.179791  -4.587588
 1632.0    3.161023  -4.513904
 1633.0    3.142256  -4.440219
 1634.0    3.123489  -4.366535
 1635.0    3.104722  -4.292851
 1636.0    3.078268  -4.226586
 1637.0    3.051814  -4.160322
 1638.0    3.025360  -4.094057
 1639.0    2.998906  -4.027793
 1640.0    2.972453  -3.961528
