   W         E3+(eta_p)
 (MeV)      Re         Im
 1684.0    0.001916   0.002608
 1685.0    0.001928   0.002636
 1686.0    0.001939   0.002666
 1687.0    0.001951   0.002696
 1688.0    0.001962   0.002725
 1689.0    0.001973   0.002755
 1690.0    0.001985   0.002785
 1691.0    0.001996   0.002816
 1692.0    0.002007   0.002846
 1693.0    0.002018   0.002877
 1694.0    0.002029   0.002908
 1695.0    0.002040   0.002938
 1696.0    0.002050   0.002970
 1697.0    0.002061   0.003002
 1698.0    0.002072   0.003033
 1699.0    0.002082   0.003065
 1700.0    0.002093   0.003097
 1701.0    0.002103   0.003129
 1702.0    0.002113   0.003162
 1703.0    0.002123   0.003195
 1704.0    0.002133   0.003228
 1705.0    0.002143   0.003260
 1706.0    0.002152   0.003294
 1707.0    0.002161   0.003329
 1708.0    0.002170   0.003363
 1709.0    0.002179   0.003397
 1710.0    0.002188   0.003431
 1711.0    0.002198   0.003465
 1712.0    0.002208   0.003500
 1713.0    0.002217   0.003534
 1714.0    0.002227   0.003568
 1715.0    0.002236   0.003602
 1716.0    0.002244   0.003638
 1717.0    0.002253   0.003673
 1718.0    0.002261   0.003709
 1719.0    0.002269   0.003745
 1720.0    0.002278   0.003781
 1721.0    0.002285   0.003817
 1722.0    0.002293   0.003854
 1723.0    0.002301   0.003891
 1724.0    0.002309   0.003927
 1725.0    0.002316   0.003964
 1726.0    0.002323   0.004002
 1727.0    0.002330   0.004039
 1728.0    0.002337   0.004077
 1729.0    0.002344   0.004115
 1730.0    0.002351   0.004152
 1731.0    0.002357   0.004191
 1732.0    0.002364   0.004230
 1733.0    0.002370   0.004268
 1734.0    0.002376   0.004307
 1735.0    0.002383   0.004345
 1736.0    0.002388   0.004385
 1737.0    0.002394   0.004424
 1738.0    0.002399   0.004464
 1739.0    0.002405   0.004503
 1740.0    0.002410   0.004543
 1741.0    0.002415   0.004583
 1742.0    0.002420   0.004624
 1743.0    0.002425   0.004664
 1744.0    0.002429   0.004705
 1745.0    0.002434   0.004745
 1746.0    0.002438   0.004787
 1747.0    0.002442   0.004828
 1748.0    0.002446   0.004869
 1749.0    0.002450   0.004911
 1750.0    0.002454   0.004952
 1751.0    0.002457   0.004994
 1752.0    0.002460   0.005037
 1753.0    0.002464   0.005079
 1754.0    0.002467   0.005121
 1755.0    0.002470   0.005164
 1756.0    0.002472   0.005207
 1757.0    0.002474   0.005250
 1758.0    0.002477   0.005293
 1759.0    0.002479   0.005337
