   W         E2-(eta_p)
 (MeV)      Re         Im
 1486.0   -0.011754   0.004344
 1487.0   -0.023224  -0.007322
 1488.0   -0.034694  -0.018988
 1489.0   -0.046164  -0.030654
 1490.0   -0.057635  -0.042320
 1491.0   -0.069105  -0.053986
 1492.0   -0.080575  -0.065652
 1493.0   -0.092045  -0.077318
 1494.0   -0.103516  -0.088984
 1495.0   -0.114986  -0.100650
 1496.0   -0.124171  -0.114174
 1497.0   -0.133357  -0.127698
 1498.0   -0.142542  -0.141222
 1499.0   -0.151728  -0.154746
 1500.0   -0.160914  -0.168271
 1501.0   -0.167277  -0.183010
 1502.0   -0.173640  -0.197750
 1503.0   -0.180003  -0.212490
 1504.0   -0.186366  -0.227229
 1505.0   -0.192729  -0.241969
 1506.0   -0.195993  -0.257093
 1507.0   -0.199257  -0.272216
 1508.0   -0.202521  -0.287340
 1509.0   -0.205785  -0.302464
 1510.0   -0.209049  -0.317587
 1511.0   -0.209259  -0.332208
 1512.0   -0.209469  -0.346830
 1513.0   -0.209679  -0.361451
 1514.0   -0.209889  -0.376072
 1515.0   -0.210099  -0.390693
 1516.0   -0.207616  -0.404022
 1517.0   -0.205132  -0.417350
 1518.0   -0.202649  -0.430679
 1519.0   -0.200166  -0.444007
 1520.0   -0.197683  -0.457336
 1521.0   -0.193094  -0.468796
 1522.0   -0.188505  -0.480256
 1523.0   -0.183917  -0.491716
 1524.0   -0.179328  -0.503176
 1525.0   -0.174740  -0.514636
 1526.0   -0.168737  -0.523921
 1527.0   -0.162735  -0.533206
 1528.0   -0.156733  -0.542491
 1529.0   -0.150731  -0.551777
 1530.0   -0.144728  -0.561062
 1531.0   -0.137988  -0.568117
 1532.0   -0.131249  -0.575173
 1533.0   -0.124509  -0.582229
 1534.0   -0.117769  -0.589285
 1535.0   -0.111029  -0.596341
 1536.0   -0.104129  -0.601310
 1537.0   -0.097228  -0.606280
 1538.0   -0.090327  -0.611250
 1539.0   -0.083427  -0.616219
