   W         M1-(pi+_n)
 (MeV)      Re      Im
 1293.0    5.625   0.342
 1294.0    5.628   0.359
 1295.0    5.631   0.376
 1296.0    5.634   0.393
 1297.0    5.636   0.411
 1298.0    5.638   0.429
 1299.0    5.640   0.447
 1300.0    5.642   0.466
 1301.0    5.643   0.484
 1302.0    5.645   0.503
 1303.0    5.646   0.523
 1304.0    5.646   0.542
 1305.0    5.647   0.562
 1306.0    5.647   0.583
 1307.0    5.647   0.603
 1308.0    5.647   0.624
 1309.0    5.646   0.646
 1310.0    5.645   0.667
 1311.0    5.643   0.690
 1312.0    5.641   0.712
 1313.0    5.639   0.735
 1314.0    5.637   0.758
 1315.0    5.634   0.782
 1316.0    5.630   0.806
 1317.0    5.627   0.830
 1318.0    5.622   0.855
 1319.0    5.618   0.879
 1320.0    5.613   0.905
 1321.0    5.607   0.930
 1322.0    5.601   0.956
 1323.0    5.595   0.981
 1324.0    5.588   1.008
 1325.0    5.580   1.034
 1326.0    5.572   1.061
 1327.0    5.564   1.088
 1328.0    5.554   1.115
 1329.0    5.545   1.143
 1330.0    5.534   1.171
 1331.0    5.523   1.199
 1332.0    5.511   1.228
 1333.0    5.499   1.256
 1334.0    5.486   1.285
 1335.0    5.472   1.315
 1336.0    5.458   1.344
 1337.0    5.443   1.373
 1338.0    5.428   1.403
 1339.0    5.411   1.433
 1340.0    5.395   1.462
 1341.0    5.377   1.492
 1342.0    5.359   1.522
 1343.0    5.340   1.551
 1344.0    5.321   1.581
 1345.0    5.301   1.611
 1346.0    5.280   1.640
 1347.0    5.258   1.670
 1348.0    5.236   1.700
 1349.0    5.213   1.729
 1350.0    5.190   1.759
 1351.0    5.165   1.788
 1352.0    5.140   1.817
 1353.0    5.114   1.846
 1354.0    5.088   1.875
 1355.0    5.060   1.904
 1356.0    5.032   1.933
 1357.0    5.004   1.961
 1358.0    4.974   1.989
 1359.0    4.944   2.017
 1360.0    4.914   2.044
 1361.0    4.882   2.072
 1362.0    4.850   2.099
 1363.0    4.818   2.125
 1364.0    4.785   2.151
 1365.0    4.751   2.177
 1366.0    4.717   2.202
 1367.0    4.682   2.227
 1368.0    4.647   2.251
 1369.0    4.611   2.274
 1370.0    4.575   2.297
 1371.0    4.539   2.320
 1372.0    4.502   2.341
 1373.0    4.464   2.363
 1374.0    4.427   2.383
 1375.0    4.389   2.403
 1376.0    4.351   2.422
 1377.0    4.312   2.441
 1378.0    4.273   2.459
 1379.0    4.234   2.476
 1380.0    4.195   2.493
 1381.0    4.155   2.509
 1382.0    4.115   2.525
 1383.0    4.075   2.539
 1384.0    4.035   2.553
 1385.0    3.995   2.567
 1386.0    3.955   2.580
 1387.0    3.914   2.592
 1388.0    3.874   2.603
 1389.0    3.833   2.614
 1390.0    3.793   2.624
 1391.0    3.752   2.634
 1392.0    3.711   2.643
 1393.0    3.671   2.651
 1394.0    3.630   2.659
 1395.0    3.590   2.666
 1396.0    3.550   2.672
 1397.0    3.510   2.678
 1398.0    3.470   2.683
 1399.0    3.430   2.687
 1400.0    3.390   2.691
 1401.0    3.351   2.694
 1402.0    3.312   2.696
 1403.0    3.273   2.698
 1404.0    3.234   2.699
 1405.0    3.196   2.700
 1406.0    3.158   2.700
 1407.0    3.120   2.700
 1408.0    3.082   2.699
 1409.0    3.045   2.697
 1410.0    3.007   2.696
 1411.0    2.970   2.693
 1412.0    2.934   2.691
 1413.0    2.898   2.688
 1414.0    2.861   2.684
 1415.0    2.826   2.680
 1416.0    2.790   2.675
 1417.0    2.755   2.671
 1418.0    2.721   2.665
 1419.0    2.686   2.660
 1420.0    2.652   2.654
 1421.0    2.619   2.647
 1422.0    2.586   2.641
 1423.0    2.553   2.634
 1424.0    2.520   2.626
 1425.0    2.488   2.619
 1426.0    2.456   2.611
 1427.0    2.425   2.602
 1428.0    2.394   2.594
 1429.0    2.363   2.585
 1430.0    2.333   2.576
 1431.0    2.303   2.567
 1432.0    2.273   2.558
 1433.0    2.243   2.548
 1434.0    2.214   2.539
 1435.0    2.185   2.529
 1436.0    2.157   2.519
 1437.0    2.128   2.508
 1438.0    2.100   2.498
 1439.0    2.073   2.487
 1440.0    2.045   2.477
 1441.0    2.018   2.466
 1442.0    1.992   2.455
 1443.0    1.965   2.444
 1444.0    1.939   2.433
 1445.0    1.913   2.422
 1446.0    1.888   2.410
 1447.0    1.863   2.399
 1448.0    1.838   2.388
 1449.0    1.813   2.376
 1450.0    1.789   2.364
 1451.0    1.765   2.353
 1452.0    1.742   2.341
 1453.0    1.718   2.329
 1454.0    1.695   2.317
 1455.0    1.673   2.305
 1456.0    1.650   2.293
 1457.0    1.628   2.281
 1458.0    1.606   2.269
 1459.0    1.584   2.257
 1460.0    1.563   2.245
 1461.0    1.542   2.233
 1462.0    1.521   2.221
 1463.0    1.500   2.209
 1464.0    1.479   2.197
 1465.0    1.459   2.185
 1466.0    1.439   2.174
 1467.0    1.419   2.162
 1468.0    1.399   2.150
 1469.0    1.379   2.138
 1470.0    1.359   2.126
 1471.0    1.340   2.115
 1472.0    1.321   2.103
 1473.0    1.301   2.092
 1474.0    1.282   2.080
 1475.0    1.264   2.069
 1476.0    1.245   2.057
 1477.0    1.226   2.046
 1478.0    1.208   2.035
 1479.0    1.190   2.023
 1480.0    1.172   2.012
 1481.0    1.154   2.001
 1482.0    1.137   1.990
 1483.0    1.119   1.979
 1484.0    1.102   1.968
 1485.0    1.085   1.957
 1486.0    1.068   1.946
 1487.0    1.052   1.935
 1488.0    1.035   1.924
 1489.0    1.019   1.913
 1490.0    1.003   1.903
 1491.0    0.987   1.892
 1492.0    0.971   1.882
 1493.0    0.955   1.871
 1494.0    0.939   1.861
 1495.0    0.924   1.850
 1496.0    0.908   1.840
 1497.0    0.893   1.830
 1498.0    0.878   1.820
 1499.0    0.862   1.810
 1500.0    0.847   1.800
 1501.0    0.832   1.790
 1502.0    0.817   1.781
 1503.0    0.802   1.771
 1504.0    0.788   1.761
 1505.0    0.773   1.752
 1506.0    0.758   1.743
 1507.0    0.744   1.733
 1508.0    0.730   1.724
 1509.0    0.716   1.715
 1510.0    0.702   1.706
 1511.0    0.688   1.696
 1512.0    0.674   1.687
 1513.0    0.661   1.678
 1514.0    0.647   1.670
 1515.0    0.634   1.661
