   W          M6+(pi+_n)
 (MeV)       Re        Im
 1155.00   -0.00174   0.00000
 1156.00   -0.00179   0.00000
 1157.00   -0.00184   0.00000
 1158.00   -0.00188   0.00000
 1159.00   -0.00193   0.00000
 1160.00   -0.00198   0.00000
 1161.00   -0.00203   0.00000
 1162.00   -0.00208   0.00000
 1163.00   -0.00213   0.00000
 1164.00   -0.00218   0.00000
 1165.00   -0.00223   0.00000
 1166.00   -0.00228   0.00000
 1167.00   -0.00233   0.00000
 1168.00   -0.00238   0.00000
 1169.00   -0.00244   0.00000
 1170.00   -0.00249   0.00000
 1171.00   -0.00254   0.00000
 1172.00   -0.00260   0.00000
 1173.00   -0.00265   0.00000
 1174.00   -0.00270   0.00000
 1175.00   -0.00276   0.00000
 1176.00   -0.00281   0.00000
 1177.00   -0.00287   0.00000
 1178.00   -0.00292   0.00000
 1179.00   -0.00298   0.00000
 1180.00   -0.00304   0.00000
 1181.00   -0.00309   0.00000
 1182.00   -0.00315   0.00000
 1183.00   -0.00321   0.00000
 1184.00   -0.00326   0.00000
 1185.00   -0.00332   0.00000
 1186.00   -0.00338   0.00000
 1187.00   -0.00344   0.00000
 1188.00   -0.00350   0.00000
 1189.00   -0.00356   0.00000
 1190.00   -0.00362   0.00000
 1191.00   -0.00368   0.00000
 1192.00   -0.00374   0.00000
 1193.00   -0.00380   0.00000
 1194.00   -0.00386   0.00000
 1195.00   -0.00392   0.00000
 1196.00   -0.00398   0.00000
 1197.00   -0.00404   0.00000
 1198.00   -0.00410   0.00000
 1199.00   -0.00416   0.00000
 1200.00   -0.00422   0.00000
 1201.00   -0.00429   0.00000
 1202.00   -0.00435   0.00000
 1203.00   -0.00441   0.00000
 1204.00   -0.00447   0.00000
 1205.00   -0.00454   0.00000
 1206.00   -0.00460   0.00000
 1207.00   -0.00466   0.00000
 1208.00   -0.00472   0.00000
 1209.00   -0.00479   0.00000
 1210.00   -0.00485   0.00000
 1211.00   -0.00492   0.00000
 1212.00   -0.00498   0.00000
 1213.00   -0.00504   0.00000
 1214.00   -0.00511   0.00000
 1215.00   -0.00517   0.00000
 1216.00   -0.00524   0.00000
 1217.00   -0.00530   0.00000
 1218.00   -0.00537   0.00000
 1219.00   -0.00543   0.00000
 1220.00   -0.00550   0.00000
 1221.00   -0.00556   0.00000
 1222.00   -0.00563   0.00000
 1223.00   -0.00569   0.00000
 1224.00   -0.00576   0.00000
 1225.00   -0.00582   0.00000
 1226.00   -0.00589   0.00000
 1227.00   -0.00595   0.00000
 1228.00   -0.00602   0.00000
 1229.00   -0.00609   0.00000
 1230.00   -0.00615   0.00000
 1231.00   -0.00622   0.00000
 1232.00   -0.00628   0.00000
 1233.00   -0.00635   0.00000
 1234.00   -0.00642   0.00000
 1235.00   -0.00648   0.00000
 1236.00   -0.00655   0.00000
 1237.00   -0.00661   0.00000
 1238.00   -0.00668   0.00000
 1239.00   -0.00675   0.00000
 1240.00   -0.00681   0.00000
 1241.00   -0.00688   0.00000
 1242.00   -0.00695   0.00000
 1243.00   -0.00701   0.00000
 1244.00   -0.00708   0.00000
 1245.00   -0.00715   0.00000
 1246.00   -0.00721   0.00000
 1247.00   -0.00728   0.00000
 1248.00   -0.00735   0.00000
 1249.00   -0.00741   0.00000
 1250.00   -0.00748   0.00000
 1251.00   -0.00755   0.00000
 1252.00   -0.00761   0.00000
 1253.00   -0.00768   0.00000
 1254.00   -0.00775   0.00000
 1255.00   -0.00782   0.00000
 1256.00   -0.00788   0.00000
 1257.00   -0.00795   0.00000
 1258.00   -0.00802   0.00000
 1259.00   -0.00808   0.00000
 1260.00   -0.00815   0.00000
 1261.00   -0.00822   0.00000
 1262.00   -0.00828   0.00000
 1263.00   -0.00835   0.00000
 1264.00   -0.00842   0.00000
 1265.00   -0.00848   0.00000
 1266.00   -0.00855   0.00000
 1267.00   -0.00862   0.00000
 1268.00   -0.00868   0.00000
 1269.00   -0.00875   0.00000
 1270.00   -0.00881   0.00000
 1271.00   -0.00888   0.00000
 1272.00   -0.00895   0.00000
 1273.00   -0.00901   0.00000
 1274.00   -0.00908   0.00000
 1275.00   -0.00915   0.00000
 1276.00   -0.00921   0.00000
 1277.00   -0.00928   0.00000
 1278.00   -0.00934   0.00000
 1279.00   -0.00941   0.00000
 1280.00   -0.00948   0.00000
 1281.00   -0.00954   0.00000
 1282.00   -0.00961   0.00000
 1283.00   -0.00967   0.00000
 1284.00   -0.00974   0.00000
 1285.00   -0.00980   0.00000
 1286.00   -0.00987   0.00000
 1287.00   -0.00994   0.00000
 1288.00   -0.01000   0.00000
 1289.00   -0.01007   0.00000
 1290.00   -0.01013   0.00000
 1291.00   -0.01020   0.00000
 1292.00   -0.01026   0.00000
 1293.00   -0.01033   0.00000
 1294.00   -0.01039   0.00000
 1295.00   -0.01046   0.00000
 1296.00   -0.01052   0.00000
 1297.00   -0.01058   0.00000
 1298.00   -0.01065   0.00000
 1299.00   -0.01071   0.00000
 1300.00   -0.01078   0.00000
 1301.00   -0.01084   0.00000
 1302.00   -0.01091   0.00000
 1303.00   -0.01097   0.00000
 1304.00   -0.01103   0.00000
 1305.00   -0.01110   0.00000
 1306.00   -0.01116   0.00000
 1307.00   -0.01123   0.00000
 1308.00   -0.01129   0.00000
 1309.00   -0.01135   0.00000
 1310.00   -0.01142   0.00000
 1311.00   -0.01148   0.00000
 1312.00   -0.01154   0.00000
 1313.00   -0.01160   0.00000
 1314.00   -0.01167   0.00000
 1315.00   -0.01173   0.00000
 1316.00   -0.01179   0.00000
 1317.00   -0.01186   0.00000
 1318.00   -0.01192   0.00000
 1319.00   -0.01198   0.00000
 1320.00   -0.01204   0.00000
 1321.00   -0.01210   0.00000
 1322.00   -0.01217   0.00000
 1323.00   -0.01223   0.00000
 1324.00   -0.01229   0.00000
 1325.00   -0.01235   0.00000
 1326.00   -0.01241   0.00000
 1327.00   -0.01247   0.00000
 1328.00   -0.01253   0.00000
 1329.00   -0.01260   0.00000
 1330.00   -0.01266   0.00000
 1331.00   -0.01272   0.00000
 1332.00   -0.01278   0.00000
 1333.00   -0.01284   0.00000
 1334.00   -0.01290   0.00000
 1335.00   -0.01296   0.00000
 1336.00   -0.01302   0.00000
 1337.00   -0.01308   0.00000
 1338.00   -0.01314   0.00000
 1339.00   -0.01320   0.00000
 1340.00   -0.01326   0.00000
 1341.00   -0.01332   0.00000
 1342.00   -0.01338   0.00000
 1343.00   -0.01344   0.00000
 1344.00   -0.01350   0.00000
 1345.00   -0.01356   0.00000
 1346.00   -0.01361   0.00000
 1347.00   -0.01367   0.00000
 1348.00   -0.01373   0.00000
 1349.00   -0.01379   0.00000
 1350.00   -0.01385   0.00000
 1351.00   -0.01391   0.00000
 1352.00   -0.01396   0.00000
 1353.00   -0.01402   0.00000
 1354.00   -0.01408   0.00000
 1355.00   -0.01414   0.00000
 1356.00   -0.01419   0.00000
 1357.00   -0.01425   0.00000
 1358.00   -0.01431   0.00000
 1359.00   -0.01437   0.00000
 1360.00   -0.01442   0.00000
 1361.00   -0.01448   0.00000
 1362.00   -0.01454   0.00000
 1363.00   -0.01459   0.00000
 1364.00   -0.01465   0.00000
 1365.00   -0.01470   0.00000
 1366.00   -0.01476   0.00000
 1367.00   -0.01482   0.00000
 1368.00   -0.01487   0.00000
 1369.00   -0.01493   0.00000
 1370.00   -0.01498   0.00000
 1371.00   -0.01504   0.00000
 1372.00   -0.01509   0.00000
 1373.00   -0.01515   0.00000
 1374.00   -0.01520   0.00000
 1375.00   -0.01526   0.00000
 1376.00   -0.01531   0.00000
 1377.00   -0.01537   0.00000
 1378.00   -0.01542   0.00000
