   W         E2-(pi+_n)
 (MeV)      Re      Im
 1306.0    5.315   0.000
 1307.0    5.316   0.000
 1308.0    5.318   0.000
 1309.0    5.319   0.000
 1310.0    5.320   0.000
 1311.0    5.321   0.000
 1312.0    5.322   0.000
 1313.0    5.323   0.000
 1314.0    5.324   0.000
 1315.0    5.325   0.000
 1316.0    5.326   0.000
 1317.0    5.326   0.000
 1318.0    5.327   0.000
 1319.0    5.328   0.000
 1320.0    5.329   0.000
 1321.0    5.329   0.000
 1322.0    5.330   0.000
 1323.0    5.331   0.000
 1324.0    5.331   0.000
 1325.0    5.332   0.000
 1326.0    5.332   0.000
 1327.0    5.333   0.000
 1328.0    5.333   0.000
 1329.0    5.334   0.000
 1330.0    5.334   0.000
 1331.0    5.334   0.000
 1332.0    5.335   0.000
 1333.0    5.335   0.000
 1334.0    5.335   0.000
 1335.0    5.336   0.000
 1336.0    5.336   0.000
 1337.0    5.336   0.000
 1338.0    5.336   0.000
 1339.0    5.336   0.000
 1340.0    5.336   0.000
 1341.0    5.336   0.000
 1342.0    5.337   0.000
 1343.0    5.337   0.000
 1344.0    5.337   0.000
 1345.0    5.337   0.000
 1346.0    5.336   0.000
 1347.0    5.336   0.000
 1348.0    5.336   0.000
 1349.0    5.336   0.000
 1350.0    5.336   0.000
 1351.0    5.336   0.000
 1352.0    5.336   0.000
 1353.0    5.335   0.000
 1354.0    5.335   0.000
 1355.0    5.335   0.000
 1356.0    5.335   0.000
 1357.0    5.334   0.000
 1358.0    5.334   0.000
 1359.0    5.334   0.000
 1360.0    5.333   0.000
 1361.0    5.333   0.000
 1362.0    5.333   0.000
 1363.0    5.332   0.000
 1364.0    5.332   0.000
 1365.0    5.331   0.000
 1366.0    5.331   0.000
 1367.0    5.330   0.000
 1368.0    5.330   0.000
 1369.0    5.329   0.000
 1370.0    5.329   0.000
 1371.0    5.328   0.000
 1372.0    5.327   0.000
 1373.0    5.327   0.000
 1374.0    5.326   0.000
 1375.0    5.326   0.000
 1376.0    5.325   0.000
 1377.0    5.324   0.000
 1378.0    5.323   0.000
 1379.0    5.323   0.000
 1380.0    5.322   0.000
 1381.0    5.321   0.000
 1382.0    5.320   0.000
 1383.0    5.320   0.000
 1384.0    5.319   0.000
 1385.0    5.318   0.000
 1386.0    5.317   0.000
 1387.0    5.316   0.000
 1388.0    5.316   0.000
 1389.0    5.315   0.000
 1390.0    5.314   0.000
 1391.0    5.313   0.000
 1392.0    5.312   0.000
 1393.0    5.311   0.000
 1394.0    5.310   0.000
 1395.0    5.309   0.000
 1396.0    5.308   0.000
 1397.0    5.307   0.000
 1398.0    5.306   0.000
 1399.0    5.305   0.000
 1400.0    5.304   0.000
 1401.0    5.303   0.000
 1402.0    5.302   0.000
 1403.0    5.301   0.000
 1404.0    5.300   0.000
 1405.0    5.299   0.000
 1406.0    5.298   0.000
 1407.0    5.297   0.000
 1408.0    5.295   0.000
 1409.0    5.294   0.000
 1410.0    5.293   0.000
 1411.0    5.292   0.000
 1412.0    5.291   0.000
 1413.0    5.290   0.000
 1414.0    5.289   0.000
 1415.0    5.287   0.000
 1416.0    5.286   0.000
 1417.0    5.285   0.000
 1418.0    5.284   0.000
 1419.0    5.282   0.000
 1420.0    5.281   0.000
 1421.0    5.280   0.000
 1422.0    5.279   0.000
 1423.0    5.277   0.000
 1424.0    5.276   0.000
 1425.0    5.275   0.000
 1426.0    5.273   0.000
 1427.0    5.272   0.000
 1428.0    5.271   0.000
 1429.0    5.270   0.000
 1430.0    5.268   0.000
 1431.0    5.267   0.000
 1432.0    5.265   0.000
 1433.0    5.264   0.000
 1434.0    5.263   0.000
 1435.0    5.261   0.000
 1436.0    5.260   0.000
 1437.0    5.259   0.000
 1438.0    5.257   0.000
 1439.0    5.256   0.000
 1440.0    5.254   0.000
 1441.0    5.253   0.000
 1442.0    5.251   0.000
 1443.0    5.250   0.000
 1444.0    5.249   0.000
 1445.0    5.247   0.000
 1446.0    5.246   0.000
 1447.0    5.244   0.000
 1448.0    5.243   0.000
 1449.0    5.241   0.000
 1450.0    5.240   0.000
 1451.0    5.238   0.000
 1452.0    5.237   0.000
 1453.0    5.235   0.000
 1454.0    5.234   0.000
 1455.0    5.232   0.000
 1456.0    5.231   0.000
 1457.0    5.229   0.000
 1458.0    5.228   0.000
 1459.0    5.226   0.000
 1460.0    5.225   0.000
 1461.0    5.223   0.000
 1462.0    5.221   0.000
 1463.0    5.220   0.000
 1464.0    5.218   0.000
 1465.0    5.217   0.000
 1466.0    5.215   0.000
 1467.0    5.214   0.000
 1468.0    5.212   0.000
 1469.0    5.210   0.000
 1470.0    5.209   0.000
 1471.0    5.207   0.000
 1472.0    5.205   0.000
 1473.0    5.204   0.000
 1474.0    5.202   0.000
 1475.0    5.201   0.000
 1476.0    5.199   0.000
 1477.0    5.197   0.000
 1478.0    5.196   0.000
 1479.0    5.194   0.000
 1480.0    5.192   0.000
 1481.0    5.191   0.000
 1482.0    5.189   0.000
 1483.0    5.187   0.000
 1484.0    5.186   0.000
 1485.0    5.184   0.000
 1486.0    5.182   0.000
 1487.0    5.181   0.000
 1488.0    5.179   0.000
 1489.0    5.177   0.000
 1490.0    5.176   0.000
 1491.0    5.174   0.000
 1492.0    5.172   0.000
 1493.0    5.171   0.000
 1494.0    5.169   0.000
 1495.0    5.167   0.000
 1496.0    5.166   0.000
 1497.0    5.164   0.000
 1498.0    5.162   0.000
 1499.0    5.160   0.000
 1500.0    5.159   0.000
 1501.0    5.157   0.000
 1502.0    5.155   0.000
 1503.0    5.154   0.000
 1504.0    5.152   0.000
 1505.0    5.150   0.000
 1506.0    5.148   0.000
 1507.0    5.147   0.000
 1508.0    5.145   0.000
 1509.0    5.143   0.000
 1510.0    5.141   0.000
 1511.0    5.140   0.000
 1512.0    5.138   0.000
 1513.0    5.136   0.000
