   W         M1+(pi+_n)
 (MeV)      Re      Im
 1280.0    3.631  -9.262
 1281.0    3.651  -9.129
 1282.0    3.668  -8.998
 1283.0    3.684  -8.869
 1284.0    3.698  -8.742
 1285.0    3.710  -8.617
 1286.0    3.720  -8.494
 1287.0    3.729  -8.373
 1288.0    3.736  -8.254
 1289.0    3.742  -8.137
 1290.0    3.746  -8.022
 1291.0    3.749  -7.909
 1292.0    3.750  -7.797
 1293.0    3.751  -7.688
 1294.0    3.750  -7.580
 1295.0    3.748  -7.474
 1296.0    3.745  -7.369
 1297.0    3.740  -7.266
 1298.0    3.735  -7.166
 1299.0    3.729  -7.066
 1300.0    3.732  -6.960
 1301.0    3.724  -6.865
 1302.0    3.715  -6.770
 1303.0    3.705  -6.678
 1304.0    3.695  -6.587
 1305.0    3.684  -6.497
 1306.0    3.673  -6.409
 1307.0    3.661  -6.322
 1308.0    3.648  -6.236
 1309.0    3.634  -6.152
 1310.0    3.620  -6.069
 1311.0    3.606  -5.988
 1312.0    3.591  -5.907
 1313.0    3.575  -5.828
 1314.0    3.559  -5.750
 1315.0    3.543  -5.673
 1316.0    3.526  -5.598
 1317.0    3.509  -5.523
 1318.0    3.492  -5.450
 1319.0    3.474  -5.377
 1320.0    3.456  -5.306
 1321.0    3.438  -5.236
 1322.0    3.419  -5.167
 1323.0    3.400  -5.099
 1324.0    3.381  -5.032
 1325.0    3.362  -4.966
 1326.0    3.343  -4.901
 1327.0    3.323  -4.837
 1328.0    3.303  -4.774
 1329.0    3.283  -4.712
 1330.0    3.263  -4.651
 1331.0    3.242  -4.590
 1332.0    3.222  -4.530
 1333.0    3.201  -4.472
 1334.0    3.180  -4.414
 1335.0    3.159  -4.356
 1336.0    3.137  -4.300
 1337.0    3.116  -4.244
 1338.0    3.095  -4.189
 1339.0    3.073  -4.135
 1340.0    3.051  -4.082
 1341.0    3.030  -4.029
 1342.0    3.008  -3.977
 1343.0    2.987  -3.926
 1344.0    2.965  -3.875
 1345.0    2.943  -3.825
 1346.0    2.921  -3.776
 1347.0    2.899  -3.727
 1348.0    2.878  -3.679
 1349.0    2.855  -3.631
 1350.0    2.833  -3.585
 1351.0    2.811  -3.538
 1352.0    2.789  -3.492
 1353.0    2.767  -3.447
 1354.0    2.744  -3.403
 1355.0    2.722  -3.358
 1356.0    2.699  -3.315
 1357.0    2.677  -3.272
 1358.0    2.654  -3.229
 1359.0    2.632  -3.187
 1360.0    2.609  -3.146
 1361.0    2.587  -3.105
 1362.0    2.565  -3.064
 1363.0    2.542  -3.024
 1364.0    2.520  -2.985
 1365.0    2.497  -2.946
 1366.0    2.475  -2.907
 1367.0    2.453  -2.869
 1368.0    2.431  -2.831
