   W          E7-(pi+_n)
 (MeV)       Re        Im
 1278.00    0.02348   0.00000
 1279.00    0.02363   0.00000
 1280.00    0.02378   0.00000
 1281.00    0.02392   0.00000
 1282.00    0.02407   0.00000
 1283.00    0.02422   0.00000
 1284.00    0.02436   0.00000
 1285.00    0.02451   0.00000
 1286.00    0.02465   0.00000
 1287.00    0.02480   0.00000
 1288.00    0.02494   0.00000
 1289.00    0.02509   0.00000
 1290.00    0.02523   0.00000
 1291.00    0.02537   0.00000
 1292.00    0.02551   0.00000
 1293.00    0.02566   0.00000
 1294.00    0.02580   0.00000
 1295.00    0.02594   0.00000
 1296.00    0.02608   0.00000
 1297.00    0.02622   0.00000
 1298.00    0.02636   0.00000
 1299.00    0.02650   0.00000
 1300.00    0.02664   0.00000
 1301.00    0.02678   0.00000
 1302.00    0.02691   0.00000
 1303.00    0.02705   0.00000
 1304.00    0.02719   0.00000
 1305.00    0.02732   0.00000
 1306.00    0.02746   0.00000
 1307.00    0.02760   0.00000
 1308.00    0.02773   0.00000
 1309.00    0.02786   0.00000
 1310.00    0.02800   0.00000
 1311.00    0.02813   0.00000
 1312.00    0.02827   0.00000
 1313.00    0.02840   0.00000
 1314.00    0.02853   0.00000
 1315.00    0.02866   0.00000
 1316.00    0.02879   0.00000
 1317.00    0.02892   0.00000
 1318.00    0.02905   0.00000
 1319.00    0.02918   0.00000
 1320.00    0.02931   0.00000
 1321.00    0.02944   0.00000
 1322.00    0.02957   0.00000
 1323.00    0.02969   0.00000
 1324.00    0.02982   0.00000
 1325.00    0.02995   0.00000
 1326.00    0.03007   0.00000
 1327.00    0.03020   0.00000
 1328.00    0.03032   0.00000
 1329.00    0.03045   0.00000
 1330.00    0.03057   0.00000
 1331.00    0.03070   0.00000
 1332.00    0.03082   0.00000
 1333.00    0.03094   0.00000
 1334.00    0.03106   0.00000
 1335.00    0.03119   0.00000
 1336.00    0.03131   0.00000
 1337.00    0.03143   0.00000
 1338.00    0.03155   0.00000
 1339.00    0.03167   0.00000
 1340.00    0.03179   0.00000
 1341.00    0.03190   0.00000
 1342.00    0.03202   0.00000
 1343.00    0.03214   0.00000
 1344.00    0.03226   0.00000
 1345.00    0.03237   0.00000
 1346.00    0.03249   0.00000
 1347.00    0.03260   0.00000
 1348.00    0.03272   0.00000
 1349.00    0.03283   0.00000
 1350.00    0.03295   0.00000
 1351.00    0.03306   0.00000
 1352.00    0.03317   0.00000
 1353.00    0.03329   0.00000
 1354.00    0.03340   0.00000
 1355.00    0.03351   0.00000
 1356.00    0.03362   0.00000
 1357.00    0.03373   0.00000
 1358.00    0.03384   0.00000
 1359.00    0.03395   0.00000
 1360.00    0.03406   0.00000
 1361.00    0.03417   0.00000
 1362.00    0.03428   0.00000
 1363.00    0.03438   0.00000
 1364.00    0.03449   0.00000
 1365.00    0.03460   0.00000
 1366.00    0.03470   0.00000
 1367.00    0.03481   0.00000
 1368.00    0.03492   0.00000
 1369.00    0.03502   0.00000
 1370.00    0.03512   0.00000
 1371.00    0.03523   0.00000
 1372.00    0.03533   0.00000
 1373.00    0.03543   0.00000
 1374.00    0.03554   0.00000
 1375.00    0.03564   0.00000
 1376.00    0.03574   0.00000
 1377.00    0.03584   0.00000
 1378.00    0.03594   0.00000
 1379.00    0.03604   0.00000
 1380.00    0.03614   0.00000
 1381.00    0.03624   0.00000
 1382.00    0.03634   0.00000
 1383.00    0.03643   0.00000
 1384.00    0.03653   0.00000
 1385.00    0.03663   0.00000
 1386.00    0.03673   0.00000
 1387.00    0.03682   0.00000
 1388.00    0.03692   0.00000
 1389.00    0.03701   0.00000
 1390.00    0.03711   0.00000
 1391.00    0.03720   0.00000
 1392.00    0.03730   0.00000
 1393.00    0.03739   0.00000
 1394.00    0.03748   0.00000
 1395.00    0.03757   0.00000
 1396.00    0.03767   0.00000
 1397.00    0.03776   0.00000
 1398.00    0.03785   0.00000
 1399.00    0.03794   0.00000
 1400.00    0.03803   0.00000
 1401.00    0.03812   0.00000
 1402.00    0.03821   0.00000
 1403.00    0.03830   0.00000
 1404.00    0.03839   0.00000
 1405.00    0.03847   0.00000
 1406.00    0.03856   0.00000
 1407.00    0.03865   0.00000
 1408.00    0.03874   0.00000
 1409.00    0.03882   0.00000
 1410.00    0.03891   0.00000
 1411.00    0.03899   0.00000
 1412.00    0.03908   0.00000
 1413.00    0.03916   0.00000
 1414.00    0.03925   0.00000
 1415.00    0.03933   0.00000
 1416.00    0.03941   0.00000
 1417.00    0.03950   0.00000
 1418.00    0.03958   0.00000
 1419.00    0.03966   0.00000
 1420.00    0.03974   0.00000
 1421.00    0.03982   0.00000
 1422.00    0.03990   0.00000
 1423.00    0.03998   0.00000
 1424.00    0.04006   0.00000
 1425.00    0.04014   0.00000
 1426.00    0.04022   0.00000
 1427.00    0.04030   0.00000
 1428.00    0.04038   0.00000
 1429.00    0.04046   0.00000
 1430.00    0.04053   0.00000
 1431.00    0.04061   0.00000
 1432.00    0.04069   0.00000
 1433.00    0.04076   0.00000
 1434.00    0.04084   0.00000
 1435.00    0.04091   0.00000
 1436.00    0.04099   0.00000
 1437.00    0.04106   0.00000
 1438.00    0.04114   0.00000
 1439.00    0.04121   0.00000
 1440.00    0.04128   0.00000
 1441.00    0.04136   0.00000
 1442.00    0.04143   0.00000
 1443.00    0.04150   0.00000
 1444.00    0.04157   0.00000
 1445.00    0.04164   0.00000
 1446.00    0.04172   0.00000
 1447.00    0.04179   0.00000
 1448.00    0.04186   0.00000
 1449.00    0.04193   0.00000
 1450.00    0.04200   0.00000
 1451.00    0.04206   0.00000
 1452.00    0.04213   0.00000
 1453.00    0.04220   0.00000
 1454.00    0.04227   0.00000
 1455.00    0.04234   0.00000
 1456.00    0.04240   0.00000
 1457.00    0.04247   0.00000
 1458.00    0.04254   0.00000
 1459.00    0.04260   0.00000
 1460.00    0.04267   0.00000
 1461.00    0.04273   0.00000
 1462.00    0.04280   0.00000
 1463.00    0.04286   0.00000
 1464.00    0.04293   0.00000
 1465.00    0.04299   0.00000
 1466.00    0.04306   0.00000
 1467.00    0.04312   0.00000
 1468.00    0.04318   0.00000
 1469.00    0.04324   0.00000
 1470.00    0.04331   0.00000
 1471.00    0.04337   0.00000
 1472.00    0.04343   0.00000
 1473.00    0.04349   0.00000
 1474.00    0.04355   0.00000
 1475.00    0.04361   0.00000
 1476.00    0.04367   0.00000
 1477.00    0.04373   0.00000
 1478.00    0.04379   0.00000
 1479.00    0.04385   0.00000
 1480.00    0.04391   0.00000
 1481.00    0.04397   0.00000
 1482.00    0.04403   0.00000
 1483.00    0.04408   0.00000
 1484.00    0.04414   0.00000
 1485.00    0.04420   0.00000
 1486.00    0.04425   0.00000
 1487.00    0.04431   0.00000
 1488.00    0.04437   0.00000
 1489.00    0.04442   0.00000
 1490.00    0.04448   0.00000
 1491.00    0.04453   0.00000
 1492.00    0.04459   0.00000
 1493.00    0.04464   0.00000
 1494.00    0.04470   0.00000
 1495.00    0.04475   0.00000
 1496.00    0.04480   0.00000
 1497.00    0.04486   0.00000
 1498.00    0.04491   0.00000
 1499.00    0.04496   0.00000
 1500.00    0.04501   0.00000
 1501.00    0.04507   0.00000
 1502.00    0.04512   0.00000
 1503.00    0.04517   0.00000
 1504.00    0.04522   0.00000
 1505.00    0.04527   0.00000
 1506.00    0.04532   0.00000
 1507.00    0.04537   0.00000
 1508.00    0.04542   0.00000
 1509.00    0.04547   0.00000
 1510.00    0.04552   0.00000
 1511.00    0.04557   0.00000
 1512.00    0.04562   0.00000
 1513.00    0.04567   0.00000
 1514.00    0.04571   0.00000
 1515.00    0.04576   0.00000
 1516.00    0.04581   0.00000
 1517.00    0.04586   0.00000
 1518.00    0.04590   0.00000
 1519.00    0.04595   0.00000
 1520.00    0.04600   0.00000
 1521.00    0.04604   0.00000
 1522.00    0.04609   0.00000
 1523.00    0.04613   0.00000
 1524.00    0.04618   0.00000
 1525.00    0.04622   0.00000
 1526.00    0.04627   0.00000
 1527.00    0.04631   0.00000
 1528.00    0.04636   0.00000
 1529.00    0.04640   0.00000
 1530.00    0.04644   0.00000
 1531.00    0.04649   0.00000
 1532.00    0.04653   0.00000
 1533.00    0.04657   0.00000
 1534.00    0.04661   0.00000
 1535.00    0.04666   0.00000
