   W         E2-(pi+_n)
 (MeV)      Re      Im
 1306.0    4.921   0.000
 1307.0    4.919   0.000
 1308.0    4.918   0.000
 1309.0    4.917   0.000
 1310.0    4.916   0.000
 1311.0    4.914   0.000
 1312.0    4.913   0.000
 1313.0    4.911   0.000
 1314.0    4.910   0.000
 1315.0    4.908   0.000
 1316.0    4.907   0.000
 1317.0    4.905   0.000
 1318.0    4.903   0.000
 1319.0    4.902   0.000
 1320.0    4.900   0.000
 1321.0    4.898   0.000
 1322.0    4.896   0.000
 1323.0    4.894   0.000
 1324.0    4.892   0.000
 1325.0    4.891   0.000
 1326.0    4.889   0.000
 1327.0    4.887   0.000
 1328.0    4.884   0.000
 1329.0    4.882   0.000
 1330.0    4.880   0.000
 1331.0    4.878   0.000
 1332.0    4.876   0.000
 1333.0    4.874   0.000
 1334.0    4.872   0.000
 1335.0    4.869   0.000
 1336.0    4.867   0.000
 1337.0    4.865   0.000
 1338.0    4.862   0.000
 1339.0    4.860   0.000
 1340.0    4.857   0.000
 1341.0    4.855   0.000
 1342.0    4.852   0.000
 1343.0    4.850   0.000
 1344.0    4.847   0.000
 1345.0    4.845   0.000
 1346.0    4.842   0.000
 1347.0    4.840   0.000
 1348.0    4.837   0.000
 1349.0    4.834   0.000
 1350.0    4.831   0.000
 1351.0    4.829   0.000
 1352.0    4.826   0.000
 1353.0    4.823   0.000
 1354.0    4.820   0.000
 1355.0    4.818   0.000
 1356.0    4.815   0.000
 1357.0    4.812   0.000
 1358.0    4.809   0.000
 1359.0    4.806   0.000
 1360.0    4.803   0.000
 1361.0    4.800   0.000
 1362.0    4.797   0.000
 1363.0    4.794   0.000
 1364.0    4.791   0.000
 1365.0    4.788   0.000
 1366.0    4.785   0.000
 1367.0    4.781   0.000
 1368.0    4.778   0.000
 1369.0    4.775   0.000
 1370.0    4.772   0.000
 1371.0    4.769   0.000
 1372.0    4.766   0.000
 1373.0    4.762   0.000
 1374.0    4.759   0.000
 1375.0    4.756   0.000
 1376.0    4.752   0.000
 1377.0    4.749   0.000
 1378.0    4.746   0.000
 1379.0    4.742   0.000
 1380.0    4.739   0.000
 1381.0    4.736   0.000
 1382.0    4.732   0.000
 1383.0    4.729   0.000
 1384.0    4.725   0.000
 1385.0    4.722   0.000
 1386.0    4.718   0.000
 1387.0    4.715   0.000
 1388.0    4.711   0.000
 1389.0    4.708   0.000
 1390.0    4.704   0.000
 1391.0    4.700   0.000
 1392.0    4.697   0.000
 1393.0    4.693   0.000
 1394.0    4.690   0.000
 1395.0    4.686   0.000
 1396.0    4.682   0.000
 1397.0    4.679   0.000
 1398.0    4.675   0.000
 1399.0    4.671   0.000
 1400.0    4.667   0.000
 1401.0    4.664   0.000
 1402.0    4.660   0.000
 1403.0    4.656   0.000
 1404.0    4.652   0.000
 1405.0    4.649   0.000
 1406.0    4.645   0.000
 1407.0    4.641   0.000
 1408.0    4.637   0.000
 1409.0    4.633   0.000
 1410.0    4.629   0.000
 1411.0    4.626   0.000
 1412.0    4.622   0.000
 1413.0    4.618   0.000
 1414.0    4.614   0.000
 1415.0    4.610   0.000
 1416.0    4.606   0.000
 1417.0    4.602   0.000
 1418.0    4.598   0.000
 1419.0    4.594   0.000
 1420.0    4.590   0.000
 1421.0    4.586   0.000
 1422.0    4.582   0.000
 1423.0    4.578   0.000
 1424.0    4.574   0.000
 1425.0    4.570   0.000
 1426.0    4.566   0.000
 1427.0    4.562   0.000
 1428.0    4.558   0.000
 1429.0    4.554   0.000
 1430.0    4.550   0.000
 1431.0    4.545   0.000
 1432.0    4.541   0.000
 1433.0    4.537   0.000
 1434.0    4.533   0.000
 1435.0    4.529   0.000
 1436.0    4.525   0.000
 1437.0    4.521   0.000
 1438.0    4.516   0.000
 1439.0    4.512   0.000
 1440.0    4.508   0.000
 1441.0    4.504   0.000
 1442.0    4.500   0.000
 1443.0    4.495   0.000
 1444.0    4.491   0.000
 1445.0    4.487   0.000
 1446.0    4.483   0.000
 1447.0    4.478   0.000
 1448.0    4.474   0.000
 1449.0    4.470   0.000
 1450.0    4.466   0.000
 1451.0    4.461   0.000
 1452.0    4.457   0.000
 1453.0    4.453   0.000
 1454.0    4.448   0.000
 1455.0    4.444   0.000
 1456.0    4.440   0.000
 1457.0    4.435   0.000
 1458.0    4.431   0.000
 1459.0    4.427   0.000
 1460.0    4.422   0.000
 1461.0    4.418   0.000
 1462.0    4.414   0.000
 1463.0    4.409   0.000
 1464.0    4.405   0.000
 1465.0    4.400   0.000
 1466.0    4.396   0.000
 1467.0    4.392   0.000
 1468.0    4.387   0.000
 1469.0    4.383   0.000
 1470.0    4.378   0.000
 1471.0    4.374   0.000
 1472.0    4.369   0.000
 1473.0    4.365   0.000
 1474.0    4.361   0.000
 1475.0    4.356   0.000
 1476.0    4.352   0.000
 1477.0    4.347   0.000
 1478.0    4.343   0.000
 1479.0    4.338   0.000
 1480.0    4.334   0.000
 1481.0    4.329   0.000
 1482.0    4.325   0.000
 1483.0    4.320   0.000
 1484.0    4.316   0.000
 1485.0    4.311   0.000
 1486.0    4.307   0.000
 1487.0    4.302   0.000
 1488.0    4.298   0.000
 1489.0    4.293   0.000
 1490.0    4.289   0.000
 1491.0    4.284   0.000
 1492.0    4.280   0.000
 1493.0    4.275   0.000
 1494.0    4.270   0.000
 1495.0    4.266   0.000
 1496.0    4.261   0.000
 1497.0    4.257   0.000
 1498.0    4.252   0.000
 1499.0    4.248   0.000
 1500.0    4.243   0.000
 1501.0    4.238   0.000
 1502.0    4.234   0.000
 1503.0    4.229   0.000
 1504.0    4.225   0.000
 1505.0    4.220   0.000
 1506.0    4.216   0.000
 1507.0    4.211   0.000
 1508.0    4.206   0.000
 1509.0    4.202   0.000
 1510.0    4.197   0.000
 1511.0    4.192   0.000
 1512.0    4.188   0.000
 1513.0    4.183   0.000
 1514.0    4.179   0.000
 1515.0    4.174   0.000
 1516.0    4.169   0.000
 1517.0    4.165   0.000
 1518.0    4.160   0.000
 1519.0    4.155   0.000
 1520.0    4.151   0.000
 1521.0    4.146   0.000
 1522.0    4.141   0.000
 1523.0    4.137   0.000
 1524.0    4.132   0.000
 1525.0    4.127   0.000
 1526.0    4.123   0.000
 1527.0    4.118   0.000
 1528.0    4.114   0.000
 1529.0    4.109   0.000
 1530.0    4.104   0.000
 1531.0    4.099   0.000
 1532.0    4.095   0.000
 1533.0    4.090   0.000
 1534.0    4.085   0.000
 1535.0    4.081   0.000
 1536.0    4.076   0.000
 1537.0    4.071   0.000
 1538.0    4.067   0.000
 1539.0    4.062   0.000
 1540.0    4.057   0.000
 1541.0    4.053   0.000
 1542.0    4.048   0.000
 1543.0    4.043   0.000
 1544.0    4.039   0.000
 1545.0    4.034   0.000
 1546.0    4.029   0.000
 1547.0    4.024   0.000
 1548.0    4.020   0.000
 1549.0    4.015   0.000
 1550.0    4.010   0.000
 1551.0    4.006   0.000
 1552.0    4.001   0.000
 1553.0    3.996   0.000
 1554.0    3.991   0.000
 1555.0    3.987   0.000
 1556.0    3.982   0.000
 1557.0    3.977   0.000
 1558.0    3.973   0.000
 1559.0    3.968   0.000
 1560.0    3.963   0.000
 1561.0    3.958   0.000
 1562.0    3.954   0.000
 1563.0    3.949   0.000
 1564.0    3.944   0.000
 1565.0    3.939   0.000
 1566.0    3.935   0.000
 1567.0    3.930   0.000
 1568.0    3.925   0.000
 1569.0    3.920   0.000
 1570.0    3.916   0.000
 1571.0    3.911   0.000
 1572.0    3.906   0.000
 1573.0    3.902   0.000
 1574.0    3.897   0.000
 1575.0    3.892   0.000
 1576.0    3.887   0.000
 1577.0    3.883   0.000
 1578.0    3.878   0.000
 1579.0    3.873   0.000
 1580.0    3.868   0.000
 1581.0    3.864   0.000
 1582.0    3.859   0.000
 1583.0    3.854   0.000
 1584.0    3.849   0.000
 1585.0    3.845   0.000
 1586.0    3.840   0.000
 1587.0    3.835   0.000
 1588.0    3.830   0.000
 1589.0    3.826   0.000
 1590.0    3.821   0.000
 1591.0    3.816   0.000
 1592.0    3.811   0.000
 1593.0    3.807   0.000
 1594.0    3.802   0.000
 1595.0    3.797   0.000
 1596.0    3.792   0.000
 1597.0    3.788   0.000
 1598.0    3.783   0.000
 1599.0    3.778   0.000
 1600.0    3.773   0.000
 1601.0    3.769   0.000
 1602.0    3.764   0.000
 1603.0    3.759   0.000
 1604.0    3.754   0.000
 1605.0    3.750   0.000
 1606.0    3.745   0.000
 1607.0    3.740   0.000
 1608.0    3.735   0.000
 1609.0    3.731   0.000
 1610.0    3.726   0.000
 1611.0    3.721   0.000
 1612.0    3.716   0.000
