   W         E0+(pi+_n)
 (MeV)      Re      Im
 1080.0   26.810   0.252
 1081.0   26.647   0.355
 1082.0   26.486   0.432
 1083.0   26.327   0.496
 1084.0   26.170   0.552
 1085.0   26.016   0.601
 1086.0   25.863   0.646
 1087.0   25.713   0.686
 1088.0   25.564   0.724
 1089.0   25.418   0.759
 1090.0   25.273   0.792
 1091.0   25.129   0.827
 1092.0   24.987   0.855
 1093.0   24.848   0.876
 1094.0   24.711   0.893
 1095.0   24.577   0.905
 1096.0   24.446   0.913
 1097.0   24.316   0.919
 1098.0   24.189   0.924
 1099.0   24.063   0.927
 1100.0   23.938   0.930
 1101.0   23.815   0.934
 1102.0   23.693   0.939
 1103.0   23.572   0.943
 1104.0   23.452   0.948
 1105.0   23.334   0.953
 1106.0   23.217   0.958
 1107.0   23.101   0.962
 1108.0   22.987   0.966
 1109.0   22.873   0.969
 1110.0   22.762   0.972
 1111.0   22.652   0.974
 1112.0   22.543   0.975
 1113.0   22.435   0.975
 1114.0   22.329   0.975
 1115.0   22.224   0.974
 1116.0   22.120   0.972
 1117.0   22.018   0.970
 1118.0   21.916   0.968
 1119.0   21.816   0.965
 1120.0   21.717   0.962
 1121.0   21.619   0.959
 1122.0   21.522   0.956
 1123.0   21.426   0.952
 1124.0   21.331   0.948
 1125.0   21.238   0.944
 1126.0   21.145   0.940
 1127.0   21.053   0.935
 1128.0   20.962   0.931
 1129.0   20.872   0.926
 1130.0   20.783   0.921
 1131.0   20.695   0.915
 1132.0   20.608   0.910
 1133.0   20.522   0.904
 1134.0   20.437   0.898
 1135.0   20.353   0.892
 1136.0   20.270   0.886
 1137.0   20.187   0.879
 1138.0   20.106   0.873
 1139.0   20.025   0.866
 1140.0   19.945   0.860
 1141.0   19.866   0.853
 1142.0   19.787   0.846
 1143.0   19.710   0.839
 1144.0   19.633   0.832
 1145.0   19.557   0.825
 1146.0   19.481   0.818
 1147.0   19.407   0.811
 1148.0   19.333   0.804
 1149.0   19.260   0.797
 1150.0   19.187   0.789
 1151.0   19.116   0.782
 1152.0   19.045   0.774
 1153.0   18.974   0.767
 1154.0   18.905   0.759
 1155.0   18.835   0.752
 1156.0   18.767   0.744
 1157.0   18.699   0.736
 1158.0   18.632   0.728
 1159.0   18.566   0.721
 1160.0   18.500   0.713
 1161.0   18.435   0.705
 1162.0   18.370   0.697
 1163.0   18.306   0.689
 1164.0   18.243   0.681
 1165.0   18.180   0.673
 1166.0   18.118   0.665
 1167.0   18.057   0.656
 1168.0   17.996   0.648
 1169.0   17.935   0.640
 1170.0   17.875   0.632
 1171.0   17.816   0.624
 1172.0   17.757   0.615
 1173.0   17.698   0.607
 1174.0   17.640   0.599
 1175.0   17.583   0.590
 1176.0   17.526   0.582
 1177.0   17.470   0.574
 1178.0   17.414   0.565
 1179.0   17.358   0.557
 1180.0   17.303   0.549
 1181.0   17.249   0.540
 1182.0   17.195   0.532
 1183.0   17.142   0.524
 1184.0   17.089   0.516
 1185.0   17.036   0.507
 1186.0   16.984   0.499
 1187.0   16.932   0.491
 1188.0   16.881   0.482
 1189.0   16.830   0.474
 1190.0   16.780   0.466
 1191.0   16.730   0.457
 1192.0   16.681   0.449
 1193.0   16.631   0.441
 1194.0   16.583   0.433
 1195.0   16.534   0.425
 1196.0   16.487   0.416
 1197.0   16.439   0.408
 1198.0   16.392   0.400
 1199.0   16.345   0.392
 1200.0   16.299   0.384
