tag channel= 244, eff= 0.633429
tag channel= 245, eff= 0.635344
tag channel= 246, eff= 0.634647
tag channel= 247, eff= 0.633543
tag channel= 248, eff= 0.630000
tag channel= 249 is bad
tag channel= 250, eff= 0.636127
Eg=517.62-548.41 W=1360.8-1381.8
Eg=533.01+/-15.40  W=1371.30+/-10.54
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 0.2870 0.0061 0.0062
-0.900 154.16 0.6770 0.0064 0.0072
-0.833 146.44 1.1068 0.0076 0.0094
-0.767 140.06 1.5682 0.0088 0.0118
-0.700 134.43 2.0039 0.0097 0.0139
-0.633 129.30 2.4074 0.0103 0.0159
-0.567 124.52 2.7813 0.0109 0.0177
-0.500 120.00 3.0975 0.0114 0.0193
-0.433 115.68 3.3858 0.0119 0.0207
-0.367 111.51 3.5796 0.0122 0.0216
-0.300 107.46 3.7992 0.0126 0.0228
-0.233 103.49 3.9204 0.0127 0.0234
-0.167  99.59 4.0293 0.0129 0.0239
-0.100  95.74 4.0900 0.0130 0.0242
-0.033  91.91 4.0899 0.0130 0.0242
 0.033  88.09 4.0841 0.0130 0.0242
 0.100  84.26 4.0453 0.0129 0.0240
 0.167  80.41 3.9793 0.0128 0.0237
 0.233  76.51 3.8800 0.0127 0.0232
 0.300  72.54 3.7796 0.0125 0.0227
 0.367  68.49 3.6387 0.0123 0.0220
 0.433  64.32 3.4849 0.0120 0.0212
 0.500  60.00 3.3456 0.0118 0.0205
 0.567  55.48 3.1985 0.0117 0.0198
 0.633  50.70 3.0329 0.0117 0.0191
 0.700  45.57 2.8341 0.0118 0.0184
 0.767  39.94 2.7213 0.0126 0.0186
 0.833  33.56 2.5527 0.0141 0.0190
 0.900  25.84 2.4473 0.0169 0.0208
 0.967  14.84 2.4273 0.0256 0.0283
TXS=37.795+/-0.029 ub

tag channel= 238, eff= 0.632440
tag channel= 239, eff= 0.633196
tag channel= 240, eff= 0.634365
tag channel= 241, eff= 0.634411
tag channel= 242, eff= 0.635734
tag channel= 243, eff= 0.632938
Eg=548.41-574.78 W=1381.8-1399.6
Eg=561.60+/-13.19  W=1390.73+/-8.90
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 0.2961 0.0054 0.0056
-0.900 154.16 0.6239 0.0055 0.0063
-0.833 146.44 0.9833 0.0065 0.0081
-0.767 140.06 1.3603 0.0075 0.0101
-0.700 134.43 1.7419 0.0083 0.0120
-0.633 129.30 2.0846 0.0089 0.0137
-0.567 124.52 2.4104 0.0095 0.0153
-0.500 120.00 2.6872 0.0100 0.0167
-0.433 115.68 2.9256 0.0104 0.0180
-0.367 111.51 3.0982 0.0107 0.0188
