E_gamma_low;E_gamma_high;E_gamma_sys;costheta_center;costheta_width;P;stat;sys
798.41;833.43;5.84;-0.208;0.083;-0.4534;0.0592;0.0217
798.41;833.43;5.84;-0.125;0.083;-0.2187;0.0580;0.0103
798.41;833.43;5.84;-0.042;0.083;-0.1933;0.0570;0.0091
798.41;833.43;5.84;0.042;0.083;-0.2514;0.0570;0.0120
798.41;833.43;5.84;0.125;0.083;-0.1845;0.0578;0.0087
798.41;833.43;5.84;0.208;0.083;-0.2558;0.0586;0.0123
798.41;833.43;5.84;0.292;0.083;-0.1003;0.0605;0.0049
798.41;833.43;5.84;0.375;0.083;0.0233;0.0635;0.0026
798.41;833.43;5.84;0.458;0.083;-0.0026;0.0689;0.0026
798.41;833.43;5.84;0.542;0.083;0.1917;0.0822;0.0096
798.41;833.43;5.84;0.625;0.083;0.2831;0.2056;0.0224

833.43;867.47;5.67;-0.958;0.083;-0.3393;0.1210;0.0154
833.43;867.47;5.67;-0.875;0.083;-0.3554;0.0823;0.0164
833.43;867.47;5.67;-0.792;0.083;-0.2540;0.0649;0.0122
833.43;867.47;5.67;-0.708;0.083;-0.3170;0.0606;0.0147
833.43;867.47;5.67;-0.625;0.083;-0.2931;0.0604;0.0141
833.43;867.47;5.67;-0.542;0.083;-0.2539;0.0586;0.0119
833.43;867.47;5.67;-0.458;0.083;-0.2415;0.0687;0.0130
833.43;867.47;5.67;-0.375;0.083;-0.3006;0.0724;0.0150
833.43;867.47;5.67;-0.292;0.083;-0.2666;0.0621;0.0124
833.43;867.47;5.67;-0.208;0.083;-0.2384;0.0631;0.0116
833.43;867.47;5.67;-0.125;0.083;-0.2101;0.0617;0.0099
833.43;867.47;5.67;-0.042;0.083;-0.1428;0.0612;0.0069
833.43;867.47;5.67;0.042;0.083;-0.2090;0.0613;0.0102
833.43;867.47;5.67;0.125;0.083;-0.0818;0.0620;0.0041
833.43;867.47;5.67;0.208;0.083;-0.1045;0.0656;0.0054
833.43;867.47;5.67;0.292;0.083;-0.0356;0.0684;0.0031
833.43;867.47;5.67;0.375;0.083;0.0076;0.0718;0.0028
833.43;867.47;5.67;0.458;0.083;0.2345;0.0793;0.0120
833.43;867.47;5.67;0.542;0.083;0.2934;0.0886;0.0147
833.43;867.47;5.67;0.625;0.083;0.7780;0.1924;0.0589

867.47;900.56;5.52;-0.958;0.083;-0.6447;0.1763;0.0294
867.47;900.56;5.52;-0.875;0.083;-0.2567;0.1216;0.0122
867.47;900.56;5.52;-0.792;0.083;-0.2824;0.0978;0.0139
867.47;900.56;5.52;-0.708;0.083;-0.3406;0.0927;0.0160
867.47;900.56;5.52;-0.625;0.083;-0.0771;0.0886;0.0049
867.47;900.56;5.52;-0.542;0.083;-0.1051;0.0901;0.0057
