tag channel= 308, eff= 0.455706
Eg=145.78-148.12 W=1074.2-1076.2
Eg=146.95+/-1.17  W=1075.23+/- 1.02
-0.35 110.49 1.3605 0.0142
-0.25 104.48 1.3456 0.0144
-0.15 98.63 1.3218 0.0146
-0.05 92.87 1.3128 0.0148
 0.05 87.13 1.2858 0.0149
 0.15 81.37 1.2401 0.0150
 0.25 75.52 1.1580 0.0152
 0.35 69.51 1.1537 0.0157
 0.45 63.26 1.0887 0.0159
 0.55 56.63 1.0102 0.0160
 0.65 49.46 0.9160 0.0166
 0.75 41.41 0.7959 0.0165
 0.85 31.79 0.7307 0.0150
 0.95 18.19 0.5991 0.0137
TXS=14.296+/-0.042 ub

tag channel= 289, eff= 0.549256
Eg=190.75-193.14 W=1112.8-1114.8
Eg=191.94+/-1.20  W=1113.80+/-1.01
cos  degrees  DXS  eDXS
-0.95 161.81 1.2214 0.0129
-0.85 148.21 1.2956 0.0132
-0.75 138.59 1.3373 0.0133
-0.65 130.54 1.3783 0.0135
-0.55 123.37 1.4244 0.0138
-0.45 116.74 1.4911 0.0140
-0.35 110.49 1.4711 0.0140
-0.25 104.48 1.4888 0.0143
-0.15 98.63 1.4654 0.0141
-0.05 92.87 1.4308 0.0143
 0.05 87.13 1.4191 0.0145
 0.15 81.37 1.3936 0.0147
 0.25 75.52 1.3264 0.0145
 0.35 69.51 1.2840 0.0150
 0.45 63.26 1.1986 0.0152
 0.55 56.63 1.0873 0.0154
 0.65 49.46 1.0038 0.0159
 0.75 41.41 0.8838 0.0154
 0.85 31.79 0.7955 0.0145
 0.95 18.19 0.6680 0.0128
TXS=15.740+/-0.040 ub

tag channel= 288, eff= 0.520552
Eg=193.15-195.55 W=1114.8-1116.8
Eg=194.35+/-1.20  W=1115.82+/-1.01
cos  degrees  DXS  eDXS
-0.95 161.81 1.3230 0.0186
-0.85 148.21 1.4018 0.0191
-0.75 138.59 1.4587 0.0194
-0.65 130.54 1.5216 0.0196
-0.55 123.37 1.5420 0.0195
-0.45 116.74 1.5860 0.0199
-0.35 110.49 1.6328 0.0202
-0.25 104.48 1.6160 0.0203
-0.15 98.63 1.6271 0.0207
-0.05 92.87 1.6182 0.0205
 0.05 87.13 1.5443 0.0214
 0.15 81.37 1.5776 0.0212
 0.25 75.52 1.4959 0.0210
 0.35 69.51 1.3924 0.0223
 0.45 63.26 1.3227 0.0225
 0.55 56.63 1.1957 0.0232
 0.65 49.46 1.0859 0.0241
 0.75 41.41 1.0510 0.0235
 0.85 31.79 0.8586 0.0227
 0.95 18.19 0.7259 0.0197
TXS=17.319+/-0.059 ub

tag channel= 287, eff= 0.477642
Eg=195.55-197.95 W=1116.8-1118.8
Eg=196.75+/-1.20  W=1117.84+/-1.01
cos  degrees  DXS  eDXS
-0.95 161.81 1.4148 0.0166
-0.85 148.21 1.5444 0.0168
-0.75 138.59 1.5718 0.0172
-0.65 130.54 1.6399 0.0173
-0.55 123.37 1.6948 0.0173
-0.45 116.74 1.7169 0.0177
-0.35 110.49 1.7729 0.0178
-0.25 104.48 1.8034 0.0181
-0.15 98.63 1.7822 0.0180
-0.05 92.87 1.7643 0.0184
 0.05 87.13 1.7259 0.0190
 0.15 81.37 1.6985 0.0187
 0.25 75.52 1.6057 0.0190
 0.35 69.51 1.5600 0.0189
 0.45 63.26 1.4428 0.0201
 0.55 56.63 1.3185 0.0203
 0.65 49.46 1.2397 0.0206
 0.75 41.41 1.0615 0.0208
 0.85 31.79 0.9524 0.0200
 0.95 18.19 0.8014 0.0174
TXS=18.910+/-0.052 ub

tag channel= 286, eff= 0.434513
Eg=197.96-200.37 W=1118.9-1120.9
Eg=199.16+/-1.20  W=1119.86+/-1.01
cos  degrees  DXS  eDXS
-0.95 161.81 1.5227 0.0194
-0.85 148.21 1.6453 0.0198
-0.75 138.59 1.7705 0.0202
-0.65 130.54 1.7699 0.0201
-0.55 123.37 1.8976 0.0202
-0.45 116.74 1.9346 0.0208
-0.35 110.49 1.9475 0.0210
-0.25 104.48 1.9443 0.0213
-0.15 98.63 1.9802 0.0212
-0.05 92.87 1.9646 0.0218
 0.05 87.13 1.9518 0.0222
 0.15 81.37 1.8873 0.0225
 0.25 75.52 1.7693 0.0223
 0.35 69.51 1.6859 0.0227
 0.45 63.26 1.6317 0.0236
 0.55 56.63 1.5016 0.0237
 0.65 49.46 1.3497 0.0247
 0.75 41.41 1.2289 0.0248
 0.85 31.79 1.0411 0.0234
 0.95 18.19 0.8847 0.0217
TXS=20.918+/-0.062 ub

tag channel= 285, eff= 0.389320
Eg=200.37-202.76 W=1120.9-1122.9
Eg=201.57+/-1.19  W=1121.88+/-1.00
cos  degrees  DXS  eDXS
-0.95 161.81 1.6703 0.0217
-0.85 148.21 1.8359 0.0221
-0.75 138.59 1.9227 0.0225
-0.65 130.54 1.9959 0.0229
-0.55 123.37 2.0993 0.0228
-0.45 116.74 2.1233 0.0230
-0.35 110.49 2.1594 0.0231
-0.25 104.48 2.1681 0.0236
-0.15 98.63 2.1846 0.0242
-0.05 92.87 2.1788 0.0241
 0.05 87.13 2.1268 0.0248
 0.15 81.37 2.0607 0.0249
 0.25 75.52 1.9497 0.0252
 0.35 69.51 1.8724 0.0251
 0.45 63.26 1.7727 0.0266
 0.55 56.63 1.6836 0.0265
 0.65 49.46 1.4647 0.0278
 0.75 41.41 1.3511 0.0276
 0.85 31.79 1.1698 0.0265
 0.95 18.19 0.9248 0.0247
TXS=23.057+/-0.069 ub

tag channel= 284, eff= 0.358708
Eg=202.71-205.11 W=1122.8-1124.8
Eg=203.91+/-1.20  W=1123.83+/-1.00
cos  degrees  DXS  eDXS
