E_gamma_low;E_gamma_high;E_gamma_sys;costheta_center;costheta_width;H;stat;sys
798.41;833.43;5.84;-0.125;0.083;0.0027;0.0581;0.0022
798.41;833.43;5.84;-0.042;0.083;0.1304;0.0571;0.0062
798.41;833.43;5.84;0.042;0.083;0.2043;0.0562;0.0098
798.41;833.43;5.84;0.125;0.083;0.1507;0.0560;0.0071
798.41;833.43;5.84;0.208;0.083;0.2234;0.0579;0.0108
798.41;833.43;5.84;0.292;0.083;0.2499;0.0606;0.0120
798.41;833.43;5.84;0.375;0.083;0.3343;0.0631;0.0160
798.41;833.43;5.84;0.458;0.083;0.4784;0.0691;0.0228
798.41;833.43;5.84;0.542;0.083;0.4816;0.0799;0.0240
798.41;833.43;5.84;0.625;0.083;0.6451;0.1920;0.0479

833.43;867.47;5.67;-0.958;0.083;-0.3310;0.1155;0.0151
833.43;867.47;5.67;-0.875;0.083;-0.1797;0.0808;0.0085
833.43;867.47;5.67;-0.792;0.083;-0.2463;0.0645;0.0118
833.43;867.47;5.67;-0.708;0.083;-0.3491;0.0608;0.0162
833.43;867.47;5.67;-0.625;0.083;-0.1502;0.0585;0.0073
833.43;867.47;5.67;-0.542;0.083;-0.1655;0.0571;0.0078
833.43;867.47;5.67;-0.458;0.083;-0.1366;0.0703;0.0075
833.43;867.47;5.67;-0.375;0.083;-0.1364;0.0729;0.0070
833.43;867.47;5.67;-0.292;0.083;-0.1517;0.0633;0.0071
833.43;867.47;5.67;-0.208;0.083;-0.1445;0.0612;0.0070
833.43;867.47;5.67;-0.125;0.083;-0.0839;0.0615;0.0042
833.43;867.47;5.67;-0.042;0.083;0.0911;0.0618;0.0046
833.43;867.47;5.67;0.042;0.083;0.1333;0.0622;0.0065
833.43;867.47;5.67;0.125;0.083;0.1523;0.0615;0.0071
833.43;867.47;5.67;0.208;0.083;0.2317;0.0648;0.0116
833.43;867.47;5.67;0.292;0.083;0.2371;0.0680;0.0117
833.43;867.47;5.67;0.375;0.083;0.2061;0.0712;0.0101
833.43;867.47;5.67;0.458;0.083;0.4789;0.0770;0.0244
833.43;867.47;5.67;0.542;0.083;0.5416;0.0866;0.0271
833.43;867.47;5.67;0.625;0.083;0.8199;0.1691;0.0621

867.47;900.56;5.52;-0.958;0.083;-0.1529;0.1617;0.0086
867.47;900.56;5.52;-0.875;0.083;-0.4282;0.1179;0.0200
867.47;900.56;5.52;-0.792;0.083;-0.1861;0.0952;0.0094
867.47;900.56;5.52;-0.708;0.083;-0.2090;0.0895;0.0099
867.47;900.56;5.52;-0.625;0.083;-0.2249;0.0900;0.0112
867.47;900.56;5.52;-0.542;0.083;-0.2926;0.0883;0.0141
867.47;900.56;5.52;-0.458;0.083;-0.2689;0.1044;0.0149
867.47;900.56;5.52;-0.375;0.083;-0.2535;0.1121;0.0126
867.47;900.56;5.52;-0.292;0.083;-0.0234;0.0991;0.0038
867.47;900.56;5.52;-0.208;0.083;-0.2683;0.1001;0.0133
867.47;900.56;5.52;-0.125;0.083;-0.0204;0.0981;0.0039
867.47;900.56;5.52;-0.042;0.083;0.0547;0.0925;0.0042
867.47;900.56;5.52;0.042;0.083;0.0984;0.0978;0.0056
867.47;900.56;5.52;0.125;0.083;0.0478;0.1004;0.0042
867.47;900.56;5.52;0.208;0.083;0.2545;0.1046;0.0130
867.47;900.56;5.52;0.292;0.083;0.2825;0.1193;0.0148
867.47;900.56;5.52;0.375;0.083;0.5527;0.1211;0.0276
867.47;900.56;5.52;0.458;0.083;0.6758;0.1309;0.0373
867.47;900.56;5.52;0.542;0.083;0.6397;0.1303;0.0328
867.47;900.56;5.52;0.625;0.083;0.8997;0.1837;0.0519

900.56;932.75;5.37;-0.958;0.083;0.2117;0.1721;0.0103
900.56;932.75;5.37;-0.875;0.083;-0.3571;0.1128;0.0169
900.56;932.75;5.37;-0.792;0.083;-0.0698;0.0964;0.0049
900.56;932.75;5.37;-0.708;0.083;-0.1524;0.0884;0.0075
900.56;932.75;5.37;-0.625;0.083;-0.2828;0.0891;0.0140
900.56;932.75;5.37;-0.542;0.083;-0.1989;0.0888;0.0097
