#*************************************
#  gamma p --> pi0 p                 *
#  Double polarization observable F  *
#                                    *
#  Energy bin = 30 MeV               *
#*************************************

  cos(Theta_pi)    F          stat.
      CMS                     err.
#====================================================
#       E_gamma =         440 MeV
#       E_gamma =         890 MeV
    -0.933       0.726       0.043
    -0.800       0.571       0.039
    -0.667       0.504       0.045
    -0.533       0.247       0.041
    -0.400       0.199       0.042
    -0.267       0.181       0.043
    -0.133       0.145       0.049
     0.000       0.089       0.055
     0.133      -0.121       0.071
     0.267       0.080       0.081
     0.400       0.061       0.090
     0.533       0.112       0.107
     0.667       0.367       0.111
     0.800       0.754       0.385
#====================================================
#       E_gamma =         920 MeV
    -0.933       0.715       0.044
    -0.800       0.525       0.038
    -0.667       0.429       0.047
    -0.533       0.329       0.041
    -0.400       0.277       0.047
    -0.267       0.220       0.048
    -0.133       0.117       0.056
     0.000       0.136       0.068
     0.133       0.117       0.084
     0.267       0.207       0.094
     0.400       0.217       0.121
     0.533       0.381       0.108
     0.667       0.394       0.091
     0.800       0.536       0.161
#====================================================
#       E_gamma =         950 MeV
    -0.933       0.525       0.043
    -0.800       0.415       0.036
    -0.667       0.284       0.043
    -0.533       0.350       0.038
    -0.400       0.309       0.048
    -0.267       0.173       0.055
    -0.133       0.312       0.061
     0.000       0.273       0.077
     0.133       0.342       0.091
     0.267       0.322       0.108
     0.400       0.314       0.119
     0.533       0.454       0.101
     0.667       0.381       0.079
     0.800       0.799       0.113
#====================================================
#       E_gamma =         980 MeV
    -0.933       0.445       0.037
    -0.800       0.272       0.033
    -0.667       0.169       0.041
    -0.533       0.205       0.038
    -0.400       0.247       0.046
    -0.267       0.264       0.059
    -0.133       0.490       0.066
     0.000       0.396       0.078
     0.133       0.621       0.100
     0.267       0.403       0.107
     0.400       0.729       0.114
     0.533       0.602       0.083
     0.667       0.502       0.066
     0.800       0.561       0.083
#====================================================
#       E_gamma =        1010 MeV
    -0.933       0.219       0.037
    -0.800       0.312       0.034
    -0.667       0.153       0.041
    -0.533       0.242       0.041
    -0.400       0.210       0.045
    -0.267       0.355       0.064
    -0.133       0.441       0.071
     0.000       0.485       0.087
     0.133       0.673       0.099
     0.267       0.595       0.103
     0.400       0.439       0.098
     0.533       0.525       0.079
     0.667       0.319       0.053
     0.800       0.353       0.066
#====================================================
#       E_gamma =        1040 MeV
    -0.933       0.261       0.039
    -0.800       0.207       0.035
    -0.667       0.057       0.044
    -0.533       0.108       0.040
    -0.400       0.263       0.050
    -0.267       0.327       0.074
    -0.133       0.610       0.087
     0.000       0.593       0.093
     0.133       0.940       0.106
     0.267       0.765       0.105
     0.400       0.621       0.094
     0.533       0.583       0.069
     0.667       0.264       0.053
     0.800       0.218       0.063
#====================================================
#       E_gamma =        1070 MeV
    -0.933       0.303       0.046
    -0.800       0.234       0.043
    -0.667       0.134       0.053
    -0.533       0.237       0.053
    -0.400       0.221       0.066
    -0.267       0.425       0.097
    -0.133       0.688       0.116
     0.000       0.805       0.115
     0.133       0.963       0.139
     0.267       0.972       0.127
     0.400       0.755       0.119
     0.533       0.410       0.081
     0.667       0.225       0.064
     0.800       0.319       0.072
#====================================================
#       E_gamma =        1100 MeV
    -0.933       0.313       0.047
    -0.800       0.346       0.044
    -0.667       0.231       0.062
    -0.533       0.240       0.061
    -0.400       0.186       0.079
    -0.267       0.437       0.104
    -0.133       0.715       0.134
     0.000       0.579       0.138
     0.133       0.927       0.147
     0.267       0.530       0.131
     0.400       0.372       0.122
     0.533       0.527       0.078
     0.667       0.205       0.063
     0.800       0.163       0.070
#====================================================
#       E_gamma =        1130 MeV
    -0.933       0.349       0.059
    -0.800       0.293       0.059
    -0.667       0.080       0.075
    -0.533       0.258       0.079
    -0.400       0.321       0.102
    -0.267       0.431       0.132
    -0.133       0.706       0.161
     0.000       1.000       0.176
     0.133       0.810       0.175
     0.267       0.771       0.166
     0.400       0.676       0.135
     0.533       0.265       0.093
     0.667       0.053       0.087
     0.800       0.131       0.091
#====================================================
#       E_gamma =        1160 MeV
    -0.933       0.470       0.061
    -0.800       0.355       0.058
    -0.667       0.312       0.083
    -0.533       0.287       0.089
    -0.400       0.121       0.111
    -0.267       0.478       0.158
    -0.133       0.461       0.152
     0.000       0.774       0.210
     0.133      -0.147       0.193
     0.267       0.712       0.199
     0.400       0.118       0.151
     0.533       0.166       0.101
     0.667       0.037       0.090
     0.800      -0.114       0.093
#====================================================
#       E_gamma =        1190 MeV
    -0.933       0.408       0.061
    -0.800       0.403       0.060
    -0.667       0.371       0.096
    -0.533       0.430       0.107
    -0.400       0.579       0.153
    -0.267       0.522       0.176
    -0.133       0.371       0.172
     0.000       0.555       0.203
     0.133       0.647       0.210
     0.267       0.145       0.279
     0.400       0.186       0.212
     0.533       0.246       0.122
     0.667      -0.065       0.091
     0.800      -0.207       0.104
#====================================================
#       E_gamma =        1220 MeV
    -0.933       0.510       0.070
    -0.800       0.378       0.068
    -0.667       0.260       0.106
    -0.533       0.362       0.111
    -0.400       0.431       0.172
    -0.267       0.624       0.251
    -0.133       0.433       0.214
     0.000       0.473       0.345
     0.133       0.517       0.249
     0.267       0.354       0.248
     0.400       0.098       0.214
     0.533       0.289       0.167
     0.667       0.007       0.129
     0.800      -0.087       0.116
#====================================================
#       E_gamma =        1250 MeV
    -0.933       0.602       0.064
    -0.800       0.494       0.066
    -0.667       0.339       0.099
    -0.533       0.568       0.163
    -0.400       0.556       0.194
    -0.267       0.560       0.222
    -0.133       0.291       0.248
     0.000       1.094       0.338
     0.133       0.452       0.213
     0.267       0.623       0.255
     0.400       0.402       0.216
     0.533       0.178       0.146
     0.667      -0.180       0.112
     0.800      -0.163       0.108
#====================================================
#       E_gamma =        1280 MeV
    -0.933       0.692       0.065
    -0.800       0.514       0.062
    -0.667       0.332       0.116
    -0.533       0.297       0.136
    -0.400       0.586       0.179
    -0.267       0.611       0.239
    -0.133       0.524       0.262
     0.000       0.941       0.301
     0.133       0.902       0.349
     0.267      -0.228       0.271
     0.400       0.254       0.215
     0.533       0.546       0.202
     0.667      -0.110       0.115
     0.800      -0.213       0.106
#====================================================
#       E_gamma =        1310 MeV
    -0.933       0.458       0.059
    -0.800       0.399       0.061
    -0.667       0.264       0.105
    -0.533       0.087       0.166
    -0.400       0.443       0.185
    -0.267       0.421       0.236
    -0.133       0.647       0.265
     0.000       1.293       0.451
     0.133       0.783       0.384
     0.267       0.863       0.502
     0.400       0.376       0.362
     0.533       0.161       0.200
     0.667       0.045       0.124
     0.800      -0.116       0.110
#====================================================
#       E_gamma =        1340 MeV
    -0.933       0.613       0.061
    -0.800       0.319       0.059
    -0.667       0.274       0.119
    -0.533       0.373       0.159
    -0.400       0.712       0.274
    -0.267       0.564       0.247
    -0.133       0.738       0.301
     0.000       0.767       0.248
     0.133       0.417       0.295
     0.267       0.351       0.502
     0.400       0.580       0.376
     0.533       0.157       0.230
     0.667      -0.092       0.113
     0.800      -0.349       0.114
#====================================================
#       E_gamma =        1370 MeV
    -0.933       0.562       0.065
    -0.800       0.384       0.064
    -0.667      -0.000       0.132
    -0.533       0.272       0.242
    -0.400       0.515       0.229
    -0.267       0.073       0.350
    -0.133       0.670       0.287
     0.000       0.714       0.435
     0.133       0.416       0.413
     0.267       0.101       0.400
     0.400       0.556       0.341
     0.533      -0.074       0.284
     0.667       0.031       0.144
     0.800      -0.232       0.116
#====================================================
#       E_gamma =        1400 MeV
    -0.933       0.492       0.052
    -0.800       0.316       0.060
    -0.667       0.157       0.108
    -0.533       0.100       0.146
    -0.400       0.505       0.170
    -0.267       0.447       0.201
    -0.133       0.661       0.193
     0.000       0.056       0.253
     0.133       0.394       0.287
     0.267      -0.080       0.469
     0.400       0.220       0.253
     0.533       0.265       0.203
     0.667      -0.265       0.099
     0.800      -0.138       0.104
#====================================================
#       E_gamma =        1430 MeV
    -0.933       0.301       0.054
    -0.800       0.041       0.063
    -0.667       0.075       0.104
    -0.533       0.156       0.143
    -0.400       0.087       0.182
    -0.267       0.385       0.202
    -0.133       0.521       0.217
     0.000       0.428       0.271
     0.133       0.719       0.328
     0.267      -0.040       0.421
     0.400       0.374       0.302
     0.533       0.481       0.202
     0.667      -0.017       0.098
     0.800      -0.198       0.101

