   W                 M2+(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1270.960   -0.722    0.177   -0.312    0.102
1271.433    0.318    0.165    0.353    0.117
1272.731    0.539    0.132    0.434    0.118
1274.477   -0.502    0.181   -0.581    0.106
1274.661    0.165    0.167   -0.091    0.125
1276.250   -0.439    0.165   -0.302    0.109
1278.006   -0.005    0.178    0.086    0.135
1279.752    0.394    0.161    0.116    0.164
1281.108    0.397    0.147    0.129    0.128
1281.510   -0.215    0.164   -0.158    0.112
1283.215   -0.036    0.242   -0.154    0.223
1284.319    0.475    0.137    0.338    0.129
1284.991   -0.359    0.172   -0.218    0.120
1286.720   -0.594    0.205   -0.293    0.148
1287.522   -0.315    0.186   -0.141    0.119
1288.447   -0.562    0.183   -0.303    0.121
1290.179   -0.404    0.178   -0.210    0.119
1290.724   -0.880    0.196   -0.493    0.115
1291.902    0.073    0.166    0.037    0.116
1293.614    0.112    0.166    0.029    0.118
1293.846   -0.112    0.149    0.070    0.111
1295.332   -0.271    0.145   -0.131    0.117
1297.041   -0.198    0.163   -0.171    0.128
1297.098   -0.267    0.148   -0.185    0.113
1298.754   -0.364    0.164   -0.265    0.130
1300.263   -0.273    0.149   -0.169    0.116
1300.450   -0.296    0.160   -0.212    0.127
1302.152   -0.292    0.161   -0.202    0.132
1303.434   -0.493    0.138   -0.472    0.111
1303.816   -0.327    0.148   -0.299    0.127
1305.542   -0.531    0.135   -0.340    0.120
1306.590   -0.559    0.131   -0.623    0.113
1307.222   -0.461    0.125   -0.390    0.124
1308.901   -0.411    0.118   -0.294    0.116
1309.746   -0.635    0.119   -0.614    0.112
1310.577   -0.166    0.140   -0.162    0.135
1312.251   -0.220    0.140   -0.200    0.136
1312.895   -0.602    0.117   -0.567    0.112
1313.916   -0.474    0.122   -0.342    0.127
1315.579   -0.557    0.116   -0.274    0.123
1316.035   -0.580    0.117   -0.538    0.114
1317.240   -0.120    0.320   -0.110    0.360
1318.898   -0.040    0.142   -0.136    0.177
1320.548   -0.034    0.140   -0.113    0.166
1322.174    0.002    0.141   -0.057    0.175
1323.847    0.002    0.142   -0.111    0.171
1325.406   -0.080    0.105   -0.053    0.127
1325.477   -0.012    0.136   -0.065    0.172
1327.118    0.114    0.124    0.041    0.194
1328.531   -0.039    0.104   -0.004    0.132
1328.743    0.145    0.133    0.082    0.205
1330.373    0.010    0.140    0.037    0.189
1331.557    0.058    0.110    0.087    0.145
1331.987    0.075    0.129    0.044    0.184
1333.606    0.144    0.124    0.088    0.198
1334.732    0.133    0.093    0.095    0.122
1335.217   -0.048    0.117   -0.157    0.160
1336.825   -0.112    0.224   -0.140    0.331
1337.807    0.153    0.177    0.140    0.305
1338.438   -0.163    0.261    0.031    0.325
1340.000   -0.287    0.116   -0.019    0.156
1340.896   -0.404    0.096   -0.438    0.115
1341.631   -0.208    0.213    0.055    0.235
1343.211   -0.141    0.128   -0.032    0.165
1343.972    0.009    0.093    0.079    0.122
1344.809   -0.150    0.120    0.059    0.162
1346.378   -0.185    0.119    0.119    0.159
1347.040   -0.287    0.092   -0.259    0.122
1347.959   -0.121    0.111    0.047    0.151
1349.531   -0.244    0.106   -0.098    0.144
1350.101   -0.346    0.173   -0.280    0.181
1351.095   -0.208    0.106   -0.018    0.150
1352.663   -0.228    0.195   -0.067    0.225
1353.156   -0.331    0.178   -0.287    0.195
1354.223   -0.197    0.104    0.000    0.144
1355.767   -0.233    0.177   -0.049    0.214
1356.203   -0.242    0.090   -0.280    0.116
1357.296   -0.208    0.191   -0.039    0.217
1358.864   -0.166    0.186    0.059    0.205
1359.244   -0.450    0.148   -0.351    0.135
1360.410   -0.448    0.138   -0.211    0.160
1361.954   -0.361    0.170   -0.065    0.163
1362.285   -0.425    0.145   -0.326    0.123
1363.469   -0.375    0.158   -0.105    0.153
1364.996   -0.324    0.103    0.042    0.122
1366.528    0.057    0.242   -0.016    0.337
1368.030   -0.433    0.117   -0.384    0.166
1368.264    0.030    0.159   -0.062    0.243
1369.545    0.075    0.229    0.045    0.302
1371.065    0.017    0.218   -0.049    0.353
1371.353    0.042    0.086   -0.033    0.149
1372.556    0.017    0.218   -0.057    0.355
1374.032    0.061    0.211   -0.048    0.353
1374.353   -0.429    0.204   -0.580    0.256
1375.561    0.153    0.211    0.141    0.321
1377.034    0.131    0.197    0.057    0.318
1377.347    0.231    0.079    0.271    0.142
1378.518    0.109    0.192    0.054    0.314
1379.994   -0.203    0.159   -0.173    0.203
1380.341   -0.028    0.070   -0.105    0.120
1381.483   -0.587    0.084   -0.472    0.115
1382.928    0.268    0.147   -0.163    0.154
1383.329   -0.416    0.069   -0.535    0.087
1384.413   -0.052    0.114   -0.217    0.186
1385.863   -0.060    0.117   -0.174    0.185
1386.310   -0.400    0.068   -0.571    0.087
1387.318   -0.328    0.109   -0.459    0.134
1388.771   -0.357    0.105   -0.505    0.132
1389.278   -0.418    0.064   -0.550    0.080
1390.183   -0.349    0.125   -0.355    0.151
1391.660   -0.062    0.116   -0.239    0.176
1392.246   -0.444    0.062   -0.534    0.074
1393.088   -0.048    0.124   -0.180    0.182
1394.522    0.346    0.142   -0.196    0.131
1395.202    0.017    0.064   -0.265    0.105
1395.941    0.008    0.127   -0.256    0.200
1397.359   -0.120    0.179   -0.171    0.176
1398.158    0.097    0.067   -0.020    0.097
1398.788   -0.163    0.161   -0.142    0.163
1400.189   -0.008    0.156   -0.240    0.193
1401.107   -0.055    0.070   -0.230    0.100
1401.589   -0.065    0.173   -0.241    0.183
1403.001   -0.140    0.167   -0.266    0.177
1404.371   -0.088    0.164   -0.300    0.167
1405.787    0.051    0.127   -0.059    0.239
1407.168    0.069    0.117   -0.133    0.202
1408.548    0.063    0.116   -0.104    0.207
1409.892    0.120    0.068   -0.203    0.132
1409.919    0.016    0.134   -0.009    0.221
1411.296    0.046    0.131   -0.049    0.225
1412.658    0.049    0.125   -0.172    0.212
1412.811    0.126    0.068   -0.325    0.133
1414.019    0.060    0.125   -0.161    0.198
1415.379    0.080    0.132   -0.193    0.247
1416.730    0.071    0.128   -0.152    0.239
1418.048    0.064    0.128   -0.087    0.234
1418.623    0.120    0.067   -0.230    0.124
1419.417    0.074    0.127   -0.116    0.239
1420.745    0.119    0.117    0.004    0.260
1421.517    0.042    0.060   -0.003    0.089
1422.078    0.072    0.098   -0.316    0.147
1423.397    0.112    0.124   -0.353    0.162
1424.722    0.055    0.114   -0.437    0.163
1426.038    0.053    0.115   -0.435    0.169
1427.294    0.074    0.060   -0.094    0.089
1427.347    0.080    0.101   -0.309    0.133
1428.654    0.120    0.107   -0.329    0.157
1429.961    0.078    0.100   -0.204    0.135
1430.171    0.115    0.063   -0.280    0.093
1431.226    0.100    0.111   -0.279    0.154
1432.537    0.125    0.113   -0.303    0.154
1433.035    0.138    0.067   -0.281    0.100
1433.814    0.118    0.109   -0.297    0.154
1435.096    0.161    0.106   -0.218    0.135
1435.913    0.160    0.084   -0.299    0.120
1436.370    0.096    0.099   -0.297    0.135
1437.650    0.124    0.092   -0.332    0.129
1438.902    0.096    0.104   -0.302    0.140
1440.160    0.117    0.091   -0.044    0.194
1441.424    0.123    0.089   -0.108    0.136
1441.612    0.181    0.061   -0.243    0.089
1442.647    0.170    0.093   -0.329    0.143
1443.902    0.176    0.093   -0.361    0.142
1444.441    0.320    0.058    0.070    0.085
1445.142    0.170    0.096   -0.342    0.142
1446.998    0.324    0.074   -0.129    0.115
1447.277    0.305    0.060    0.115    0.074
1449.453    0.374    0.083   -0.146    0.121
1450.107   -0.275    0.054   -0.568    0.068
1451.885    0.381    0.084   -0.187    0.114
1452.925   -0.316    0.052   -0.565    0.068
1454.281    0.257    0.075   -0.356    0.116
1455.738    0.326    0.060    0.122    0.067
1456.679    0.333    0.081    0.020    0.097
1458.546   -0.203    0.045   -0.439    0.061
1459.047   -0.217    0.047   -0.380    0.070
1461.348   -0.254    0.038   -0.352    0.052
1461.393    0.355    0.062   -0.073    0.081
1463.721    0.433    0.061   -0.079    0.087
1464.138   -0.269    0.038   -0.321    0.052
1466.034   -0.261    0.048   -0.360    0.064
1466.923   -0.271    0.038   -0.289    0.050
1468.323   -0.249    0.046   -0.332    0.060
1469.715   -0.281    0.035   -0.261    0.049
1470.590   -0.239    0.047   -0.339    0.061
1472.413   -0.265    0.036   -0.269    0.049
1472.840   -0.215    0.046   -0.309    0.059
1475.062    0.494    0.052   -0.042    0.090
1475.253   -0.229    0.038   -0.307    0.055
1477.280    0.497    0.052   -0.055    0.092
1477.998   -0.242    0.040   -0.274    0.051
1479.463   -0.114    0.053   -0.426    0.055
1480.750   -0.160    0.038   -0.285    0.040
1481.631   -0.123    0.052   -0.358    0.054
1483.491   -0.164    0.039   -0.278    0.040
1483.782   -0.122    0.058   -0.366    0.056
1485.906   -0.138    0.057   -0.383    0.056
1488.026   -0.190    0.051   -0.321    0.056
1488.959   -0.206    0.034   -0.181    0.038
1490.111   -0.187    0.047   -0.269    0.052
1491.685   -0.215    0.036   -0.154    0.038
1492.188   -0.179    0.049   -0.265    0.052
1494.236   -0.213    0.052   -0.306    0.058
1494.400   -0.238    0.037   -0.170    0.039
1496.282   -0.213    0.052   -0.299    0.059
1497.109   -0.100    0.040   -0.193    0.036
1498.293   -0.051    0.056   -0.259    0.052
1499.814   -0.101    0.039   -0.176    0.035
1500.290   -0.049    0.066   -0.239    0.059
1502.277   -0.039    0.068   -0.245    0.057
1502.515   -0.065    0.047   -0.169    0.038
1504.231   -0.024    0.065   -0.241    0.071
1505.141   -0.085    0.044   -0.154    0.037
1506.188   -0.001    0.082   -0.287    0.064
1507.882   -0.077    0.043   -0.158    0.036
1508.112   -0.006    0.076   -0.285    0.061
1510.014    0.011    0.084   -0.297    0.065
1510.549   -0.072    0.043   -0.129    0.036
1511.921   -0.029    0.071   -0.234    0.061
1513.217   -0.074    0.038   -0.103    0.035
1513.887   -0.003    0.057   -0.261    0.066
1515.875   -0.004    0.054   -0.036    0.041
1515.918    0.096    0.078   -0.173    0.066
1518.015    0.100    0.085   -0.125    0.075
1518.528    0.002    0.054   -0.005    0.041
1520.171    0.081    0.078   -0.147    0.070
1521.176   -0.031    0.051    0.008    0.040
1522.360    0.034    0.064   -0.133    0.056
1523.814   -0.019    0.052    0.010    0.040
1524.553    0.082    0.076   -0.124    0.067
1526.724    0.013    0.061   -0.097    0.057
1528.843    0.026    0.064   -0.084    0.056
1529.070   -0.030    0.053    0.033    0.042
1530.891    0.063    0.076   -0.087    0.072
1531.681   -0.012    0.056    0.054    0.045
1532.857    0.085    0.074   -0.088    0.070
1534.307   -0.004    0.062    0.051    0.047
1534.705    0.165    0.084   -0.024    0.092
1536.452    0.134    0.083   -0.019    0.083
1536.843    0.034    0.065    0.070    0.055
1538.069    0.137    0.089   -0.053    0.081
1539.502    0.010    0.063    0.073    0.052
1539.911    0.118    0.088   -0.009    0.079
1542.078    0.082    0.068    0.142    0.061
1544.662    0.013    0.082    0.075    0.060
1547.235   -0.023    0.065    0.059    0.053
1549.804   -0.047    0.063    0.060    0.050
1552.363    0.044    0.063    0.031    0.056
1554.912   -0.026    0.055    0.063    0.049
1557.462   -0.024    0.057    0.064    0.052
1559.996   -0.038    0.054    0.085    0.050
1562.532   -0.029    0.052    0.119    0.048
1565.004   -0.051    0.051    0.106    0.047
1567.574   -0.063    0.049    0.140    0.047
1570.074   -0.039    0.053    0.067    0.049
1573.823   -0.047    0.058    0.162    0.057
1577.556   -0.076    0.048    0.188    0.049
1580.035   -0.099    0.046    0.224    0.049
1582.509   -0.115    0.046    0.203    0.050
1584.973   -0.153    0.045    0.205    0.050
1587.428   -0.140    0.042    0.233    0.048
1589.891   -0.044    0.042    0.076    0.045
1592.273   -0.146    0.042    0.186    0.053
1594.764   -0.099    0.042    0.205    0.048
1597.186   -0.117    0.043    0.234    0.049
1599.605   -0.146    0.043    0.225    0.049
1602.020   -0.161    0.040    0.236    0.047
1604.425   -0.158    0.037    0.234    0.046
1606.821   -0.021    0.045    0.130    0.050
1609.213   -0.037    0.046    0.145    0.051
1611.596    0.024    0.043    0.158    0.061
1613.970   -0.016    0.048    0.157    0.060
1616.346    0.006    0.046    0.121    0.058
1618.654   -0.023    0.050    0.197    0.063
1621.058   -0.030    0.050    0.184    0.063
1623.395   -0.011    0.047    0.045    0.056
1625.734   -0.064    0.045    0.138    0.050
1628.064   -0.056    0.045    0.134    0.051
1630.385   -0.097    0.049    0.221    0.053
1632.702   -0.061    0.052    0.326    0.063
1635.011    0.009    0.046    0.263    0.067
1637.311   -0.081    0.052    0.398    0.066
1639.601   -0.087    0.050    0.447    0.047
1641.894   -0.062    0.057    0.313    0.047
1644.121   -0.005    0.069    0.244    0.053
1646.442   -0.038    0.066    0.264    0.052
1648.692   -0.118    0.063    0.367    0.051
1650.950   -0.127    0.067    0.413    0.051
1653.193   -0.162    0.076    0.376    0.051
1655.433   -0.131    0.070    0.390    0.055
1657.665   -0.048    0.098    0.409    0.065
1659.888   -0.140    0.096    0.456    0.058
1662.102   -0.185    0.102    0.475    0.059
1664.308   -0.143    0.102    0.475    0.058
1666.517   -0.284    0.073    0.499    0.050
1668.660   -0.295    0.076    0.513    0.049
1670.891   -0.360    0.076    0.531    0.051
1673.063   -0.377    0.077    0.533    0.051
1675.232   -0.113    0.097    0.376    0.045
1677.392   -0.271    0.096    0.363    0.054
1679.545   -0.274    0.095    0.353    0.055
1681.694   -0.240    0.069    0.321    0.039
1683.829   -0.377    0.057    0.316    0.041
1685.957   -0.395    0.058    0.316    0.040
1688.087   -0.385    0.057    0.306    0.040
1690.159   -0.366    0.064    0.314    0.038
1692.306   -0.361    0.062    0.174    0.039
1694.400   -0.359    0.061    0.161    0.039
1696.492   -0.529    0.077    0.147    0.052
1698.576   -0.502    0.081    0.116    0.050
1700.646   -0.476    0.067    0.143    0.051
1702.714   -0.485    0.066    0.160    0.052
1704.773   -0.477    0.064    0.153    0.053
1706.825   -0.483    0.064    0.127    0.050
1708.874   -0.375    0.069    0.272    0.052
1710.872   -0.376    0.065    0.264    0.052
1712.938   -0.388    0.062    0.255    0.050
1714.953   -0.368    0.062    0.240    0.047
1716.965   -0.545    0.065    0.141    0.065
1718.969   -0.572    0.079    0.136    0.067
1724.930   -0.400    0.064    0.066    0.051
1726.904   -0.398    0.063    0.073    0.049
1730.827   -0.467    0.060    0.080    0.059
1735.678   -0.395    0.058   -0.005    0.061
1739.528   -0.290    0.061   -0.093    0.053
1745.241    0.035    0.070    0.024    0.060
1749.001    0.004    0.069    0.000    0.066
1753.678    0.300    0.065   -0.075    0.075
1759.212    0.404    0.049    0.047    0.067
1763.766    0.370    0.053    0.020    0.067
1767.385    0.369    0.048    0.023    0.065
1770.965    0.357    0.050   -0.012    0.064
1774.511    0.340    0.057   -0.000    0.066
1778.029    0.237    0.052   -0.063    0.070
1781.509    0.321    0.057    0.083    0.070
1784.971    0.291    0.052    0.033    0.062
1790.094    0.179    0.044    0.043    0.063
1793.471    0.194    0.043    0.086    0.062
1796.806    0.126    0.041    0.098    0.065
1800.129    0.295    0.068    0.008    0.068
1803.415    0.277    0.068   -0.009    0.068
1806.669    0.142    0.039    0.086    0.063
1809.896    0.113    0.046    0.071    0.065
1813.082    0.088    0.053    0.065    0.071
1816.251    0.172    0.051    0.056    0.068
1819.390    0.156    0.051    0.070    0.073
1822.497    0.173    0.047    0.042    0.066
1825.562    0.260    0.066   -0.187    0.090
1828.623    0.258    0.066   -0.157    0.093
1831.643    0.255    0.065   -0.153    0.092
1834.637    0.251    0.067   -0.149    0.091
1838.336    0.239    0.085    0.072    0.097
1841.997    0.223    0.078    0.081    0.089
1844.898    0.219    0.079    0.067    0.085
1847.754    0.097    0.061    0.096    0.066
1852.035    0.047    0.074    0.150    0.071
1854.976    0.054    0.077    0.143    0.072
1858.008    0.065    0.079    0.147    0.074
1861.147    0.062    0.083    0.154    0.076
1864.365    0.046    0.086    0.136    0.075
1869.276    0.134    0.046    0.052    0.067
1872.541    0.090    0.065    0.085    0.078
1875.750    0.120    0.063    0.065    0.082
1878.864    0.108    0.061    0.062    0.067
1887.394    0.120    0.089    0.103    0.081
1889.902    0.169    0.097    0.040    0.095
1894.385   -0.098    0.072    0.194    0.053
