   W                 E1+(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1075.227   -0.069    0.084   -0.006    0.112
1077.319    0.046    0.089   -0.027    0.120
1079.346   -0.062    0.108   -0.074    0.133
1081.387   -0.080    0.153   -0.121    0.144
1083.424   -0.192    0.115   -0.038    0.146
1085.449   -0.001    0.078   -0.162    0.144
1087.487   -0.163    0.074   -0.175    0.141
1089.521   -0.276    0.069   -0.062    0.134
1091.535   -0.106    0.084    0.289    0.183
1093.579   -0.268    0.073    0.109    0.158
1095.610   -0.399    0.061    0.011    0.180
1097.646   -0.283    0.070   -0.268    0.138
1099.619   -0.134    0.075    0.035    0.164
1101.699   -0.243    0.069    0.042    0.138
1103.707   -0.340    0.073   -0.294    0.161
1105.729   -0.336    0.071    0.146    0.140
1107.755   -0.533    0.057   -0.087    0.183
1109.760   -0.318    0.077    0.218    0.202
1111.796   -0.343    0.072   -0.125    0.230
1113.795   -0.304    0.074   -0.255    0.208
1115.823   -0.347    0.094   -0.394    0.228
1117.839   -0.301    0.103   -0.139    0.166
1119.860   -0.654    0.086   -0.323    0.207
1121.878   -0.647    0.093   -0.133    0.252
1123.833   -0.299    0.126   -0.915    0.178
1125.893   -0.556    0.155   -0.196    0.311
1127.891   -0.407    0.159   -0.232    0.278
1129.903   -0.429    0.169   -0.294    0.344
1131.911   -0.322    0.150   -0.171    0.308
1133.915    0.192    0.173   -0.566    0.336
1135.841   -0.654    0.153   -0.263    0.232
1135.916   -0.662    0.161   -0.271    0.253
1137.913   -0.723    0.149   -0.807    0.239
1139.396    0.010    0.182   -0.741    0.264
1139.923   -0.860    0.136   -0.549    0.342
1141.905   -0.883    0.172   -1.556    0.152
1142.931   -0.014    0.174    0.024    0.313
1143.916   -0.353    0.153   -0.858    0.238
1145.916   -0.319    0.156   -0.662    0.297
1146.464   -0.295    0.199   -0.888    0.261
1147.855   -0.464    0.156   -0.597    0.251
1149.905   -0.361    0.139   -0.686    0.286
1149.986   -0.385    0.152   -0.712    0.339
1151.886   -0.356    0.136   -0.896    0.283
1153.497   -0.540    0.141   -0.207    0.300
1153.880   -0.413    0.141   -0.809    0.291
1155.862   -0.498    0.141   -0.310    0.322
1157.006   -0.550    0.148   -0.339    0.287
1157.849   -0.262    0.139   -0.473    0.278
1159.841   -0.300    0.150   -0.300    0.285
1160.504   -0.232    0.155   -0.320    0.277
1161.821   -0.623    0.148   -0.363    0.275
1163.798   -0.216    0.190   -0.790    0.356
1163.991   -0.174    0.172   -0.688    0.331
1165.780   -0.418    0.175   -0.684    0.310
1167.468   -0.185    0.175   -0.774    0.277
1167.758   -0.324    0.154   -0.613    0.243
1169.733   -0.562    0.150   -0.833    0.229
1170.951   -0.035    0.183   -0.487    0.275
1171.680   -0.231    0.225   -0.667    0.345
1173.680   -0.359    0.136   -0.715    0.213
1174.336   -0.005    0.182   -1.071    0.302
1175.653    0.389    0.144   -1.090    0.245
1177.631   -0.127    0.154   -0.717    0.217
1177.870   -0.405    0.178   -0.350    0.253
1179.597   -0.406    0.144   -0.442    0.203
1181.306   -0.426    0.174   -0.322    0.237
1181.560   -0.353    0.136   -0.229    0.187
1183.528   -0.258    0.158   -0.401    0.186
1184.748   -0.124    0.199   -0.554    0.231
1185.493    0.008    0.169   -0.736    0.153
1187.454   -0.312    0.166   -0.681    0.167
1188.180    0.044    0.203   -0.847    0.228
1189.412   -0.136    0.156   -0.600    0.170
1191.366   -0.824    0.164   -0.293    0.182
1191.603    0.281    0.212   -1.307    0.206
1193.334   -0.403    0.169   -0.606    0.165
1195.015    0.524    0.251   -1.504    0.205
1195.235    0.590    0.168   -1.392    0.149
1197.235    0.900    0.177   -1.458    0.149
1198.426    0.850    0.261   -1.402    0.174
1199.193    0.196    0.169   -0.652    0.159
1201.038    0.001    0.178   -0.484    0.159
1201.819    1.134    0.251   -1.308    0.166
1202.950    0.060    0.180   -0.355    0.164
1204.852    1.743    0.201   -1.420    0.124
1205.210    1.508    0.279   -1.333    0.166
1206.751    0.583    0.190   -0.719    0.175
1208.600    0.867    0.268   -0.851    0.210
1208.646    0.838    0.189   -0.756    0.165
1210.539    0.774    0.200   -0.584    0.177
1211.987    1.406    0.291   -1.031    0.185
1212.429   -0.893    0.200   -0.138    0.149
1214.315    0.222    0.193   -0.277    0.157
1215.273   -0.435    0.287   -0.145    0.163
1216.207    0.534    0.186   -0.302    0.161
1218.049    1.124    0.208   -0.732    0.128
1218.712    1.154    0.279   -0.702    0.130
1219.951    1.245    0.228   -0.452    0.131
1221.826    1.776    0.185   -0.820    0.119
1222.048    1.584    0.228   -0.830    0.129
1223.690    1.814    0.186   -0.719    0.126
1225.399    0.152    0.332   -0.344    0.132
1225.560    1.736    0.198   -0.493    0.131
1227.419    1.703    0.183   -0.431    0.121
