   W                 E3+(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1274.661   -0.063    0.064    0.101    0.042
1276.250    0.055    0.062    0.103    0.051
1278.006    0.111    0.059    0.161    0.051
1279.752    0.007    0.056    0.075    0.052
1281.108    0.027    0.062    0.092    0.048
1281.510    0.025    0.061   -0.092    0.054
1283.215    0.123    0.062    0.153    0.060
1284.319    0.016    0.057    0.090    0.048
1284.991    0.048    0.075    0.045    0.068
1286.720    0.008    0.086    0.032    0.075
1287.522   -0.017    0.068   -0.005    0.050
1288.447   -0.063    0.063   -0.050    0.054
1290.179   -0.014    0.069   -0.004    0.055
1290.724   -0.054    0.065   -0.069    0.050
1291.902    0.530    0.084    0.356    0.086
1293.614    0.535    0.083    0.373    0.089
1293.846   -0.605    0.073   -0.482    0.074
1295.332   -0.540    0.083   -0.377    0.098
1297.041   -0.161    0.056   -0.159    0.052
1297.098   -0.121    0.042    0.003    0.050
1298.754   -0.169    0.053   -0.129    0.052
1300.263   -0.102    0.039    0.031    0.044
1300.450   -0.142    0.052   -0.127    0.052
1302.152   -0.145    0.049   -0.063    0.053
1303.434    0.090    0.039    0.205    0.035
1303.816   -0.040    0.046   -0.106    0.043
1305.542   -0.018    0.046   -0.049    0.049
1306.590   -0.013    0.031   -0.107    0.031
1307.222    0.054    0.033    0.014    0.048
1308.901    0.016    0.036   -0.049    0.046
1309.746   -0.012    0.041   -0.099    0.047
1310.577   -0.006    0.064    0.011    0.062
1312.251   -0.025    0.060    0.005    0.059
1312.895   -0.035    0.039   -0.096    0.046
1313.916   -0.016    0.051   -0.086    0.049
1315.579   -0.031    0.051   -0.080    0.048
1316.035   -0.055    0.035   -0.076    0.044
1317.240   -0.167    0.089    0.146    0.093
1318.898   -0.189    0.041    0.108    0.059
1320.548   -0.077    0.052    0.132    0.059
1322.174   -0.102    0.046    0.096    0.053
1323.847   -0.099    0.047    0.094    0.054
1325.406   -0.075    0.043    0.200    0.051
1325.477   -0.128    0.059    0.163    0.069
1327.118   -0.133    0.067    0.139    0.072
1328.531   -0.070    0.043    0.215    0.049
1328.743   -0.080    0.064    0.122    0.065
1330.373   -0.104    0.062    0.174    0.064
1331.557   -0.051    0.045    0.215    0.048
1331.987   -0.070    0.067    0.192    0.058
1333.606   -0.110    0.063    0.149    0.063
1334.732    0.123    0.065    0.140    0.052
1335.217   -0.105    0.072   -0.087    0.084
1336.825   -0.136    0.116   -0.079    0.146
1337.807    0.137    0.104    0.135    0.093
1338.438   -0.130    0.094   -0.097    0.099
1340.000   -0.027    0.078   -0.049    0.069
1340.896   -0.075    0.040   -0.122    0.055
1341.631   -0.034    0.123   -0.040    0.077
1343.211   -0.094    0.052   -0.065    0.062
1343.972   -0.049    0.045    0.068    0.052
1344.809   -0.061    0.064   -0.045    0.059
1346.378   -0.001    0.075   -0.015    0.057
1347.040   -0.094    0.036   -0.070    0.051
1347.959   -0.058    0.057   -0.053    0.056
1349.531    0.073    0.086   -0.095    0.070
1350.101    0.147    0.127   -0.098    0.113
1351.095    0.015    0.080   -0.088    0.070
1352.663    0.084    0.173   -0.065    0.100
1353.156    0.119    0.141   -0.102    0.111
1354.223    0.066    0.082   -0.045    0.067
1355.767    0.004    0.114   -0.042    0.076
1356.203   -0.075    0.047   -0.202    0.063
1357.296   -0.006    0.137   -0.080    0.087
1358.864    0.012    0.127   -0.031    0.077
1359.244    0.162    0.093   -0.058    0.109
1360.410    0.186    0.075   -0.036    0.100
1361.954    0.110    0.113   -0.001    0.091
1362.285    0.147    0.096   -0.042    0.104
1363.469    0.117    0.112   -0.004    0.091
1364.996    0.103    0.069    0.008    0.070
1366.528   -0.033    0.055    0.067    0.064
1368.030   -0.107    0.047   -0.046    0.058
1368.264   -0.021    0.057    0.071    0.054
1369.545    0.009    0.059    0.156    0.051
1371.065   -0.025    0.059    0.063    0.061
1371.353   -0.020    0.037    0.072    0.046
1372.556   -0.019    0.059    0.056    0.058
1374.032   -0.034    0.056    0.050    0.060
1374.353   -0.092    0.048   -0.008    0.062
1375.561   -0.044    0.050    0.042    0.048
1377.034   -0.015    0.049    0.052    0.042
1377.347   -0.022    0.028    0.046    0.042
1378.518   -0.023    0.045    0.066    0.040
1379.994   -0.020    0.038    0.047    0.032
1380.341    0.021    0.029    0.066    0.032
1381.483   -0.075    0.050    0.033    0.039
1382.928    0.066    0.045   -0.070    0.056
1383.329   -0.091    0.027    0.002    0.026
