   W                 M2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1274.477   -0.446    0.192   -0.102    0.143
1274.661   -0.115    0.245    0.440    0.181
1276.250   -0.245    0.190   -0.101    0.134
1278.006   -0.019    0.206   -0.103    0.149
1279.752    0.198    0.178    0.412    0.216
1281.108   -0.020    0.212    0.341    0.159
1281.510   -0.035    0.183   -0.167    0.130
1283.215   -0.356    0.224   -0.012    0.171
1284.319    0.228    0.208    0.416    0.162
1284.991    0.329    0.201    0.200    0.151
1286.720    0.177    0.249   -0.014    0.200
1287.522    0.591    0.164    0.129    0.163
1288.447    0.359    0.187   -0.041    0.150
1290.179    0.443    0.186    0.140    0.154
1290.724    0.621    0.170   -0.300    0.172
1291.902    0.058    0.135    0.033    0.168
1293.614    0.040    0.137    0.041    0.174
1293.846    0.645    0.205   -0.104    0.187
1295.332    0.449    0.218   -0.084    0.192
1297.041    0.549    0.173    0.144    0.150
1297.098    0.906    0.123    0.212    0.126
1298.754    0.526    0.175    0.100    0.155
1300.263    0.876    0.119    0.243    0.120
1300.450    0.505    0.176    0.131    0.155
1302.152    0.617    0.155    0.131    0.153
1303.434    0.589    0.142    0.098    0.108
1303.816   -0.237    0.179   -0.429    0.147
1305.542   -0.048    0.182   -0.404    0.156
1306.590   -0.674    0.152   -0.749    0.175
1307.222    0.144    0.158   -0.097    0.141
1308.901   -0.008    0.171   -0.250    0.155
1309.746   -0.734    0.171   -0.229    0.190
1310.577    0.220    0.227    0.194    0.166
1312.251    0.225    0.223    0.186    0.168
1312.895   -0.660    0.166   -0.206    0.190
1313.916   -0.235    0.201    0.049    0.188
1315.579    0.103    0.206    0.101    0.187
1316.035   -0.643    0.162   -0.187    0.194
1317.240    0.302    0.395    0.321    0.275
1318.898    0.496    0.205    0.443    0.176
1320.548    0.343    0.228    0.333    0.161
1322.174    0.497    0.219    0.361    0.157
1323.847    0.446    0.212    0.334    0.150
1325.406    0.723    0.140    0.359    0.128
1325.477    0.420    0.210    0.295    0.164
1327.118    0.428    0.200    0.349    0.187
1328.531    0.772    0.146    0.392    0.131
1328.743    0.445    0.226    0.409    0.185
1330.373    0.463    0.220    0.348    0.164
1331.557    0.784    0.168    0.457    0.140
1331.987    0.451    0.230    0.349    0.154
1333.606    0.400    0.213    0.363    0.177
1334.732    0.183    0.180    0.276    0.098
1335.217    0.227    0.160   -0.057    0.178
1336.825    0.211    0.223   -0.075    0.292
1337.807    0.132    0.322    0.270    0.150
1338.438    0.366    0.198    0.135    0.279
1340.000    0.194    0.168    0.071    0.205
1340.896   -0.285    0.129   -0.131    0.178
1341.631    0.372    0.233    0.232    0.329
1343.211    0.312    0.170    0.144    0.202
1343.972    0.595    0.118    0.160    0.112
1344.809    0.407    0.168    0.247    0.216
1346.378    0.406    0.187    0.322    0.221
1347.040   -0.148    0.126   -0.139    0.167
1347.959    0.385    0.160    0.257    0.201
1349.531    0.103    0.185    0.081    0.183
1350.101   -0.075    0.243   -0.021    0.289
1351.095    0.368    0.165    0.116    0.199
1352.663    0.126    0.279    0.105    0.279
1353.156   -0.046    0.226   -0.027    0.304
1354.223    0.253    0.179    0.157    0.197
1355.767    0.251    0.232    0.174    0.296
1356.203   -0.166    0.137   -0.058    0.153
1357.296    0.269    0.245    0.188    0.281
1358.864    0.316    0.241    0.234    0.311
1359.244   -0.125    0.272    0.169    0.294
1360.410   -0.232    0.277    0.216    0.279
1361.954    0.151    0.311    0.201    0.293
1362.285   -0.061    0.269    0.161    0.301
1363.469    0.154    0.308    0.156    0.290
1364.996    0.217    0.232    0.189    0.219
1366.528    0.748    0.238    0.262    0.250
1368.030    0.066    0.200   -0.155    0.202
1368.264    0.695    0.219    0.243    0.188
1369.545    0.814    0.208    0.196    0.202
1371.065    0.742    0.332    0.336    0.271
1371.353    0.857    0.108    0.250    0.117
1372.556    0.648    0.358    0.306    0.267
1374.032    0.683    0.319    0.317    0.251
1374.353   -0.324    0.220   -0.095    0.255
1375.561    0.718    0.168    0.225    0.152
1377.034    0.681    0.194    0.238    0.160
1377.347    0.787    0.101    0.183    0.094
1378.518    0.737    0.188    0.233    0.154
1379.994    0.756    0.203    0.484    0.163
1380.341    0.598    0.146    0.595    0.109
1381.483    0.506    0.159    0.183    0.269
1382.928    0.205    0.156    0.399    0.127
1383.329    0.141    0.121    0.260    0.144
1384.413    0.824    0.143    0.551    0.144
1385.863    0.816    0.143    0.579    0.147
1386.310    0.173    0.116    0.242    0.141
1387.318    0.164    0.164    0.226    0.212
1388.771    0.167    0.160    0.249    0.215
1389.278    0.161    0.115    0.224    0.138
1390.183    0.170    0.187    0.140    0.237
1391.660    0.742    0.154    0.564    0.138
1392.246    0.254    0.112    0.232    0.153
1393.088    0.791    0.137    0.549    0.151
1394.522    0.094    0.142    0.306    0.108
1395.202    0.253    0.127    0.573    0.096
1395.941    0.749    0.134    0.506    0.145
1397.359    0.265    0.155    0.139    0.203
1398.158    0.306    0.114    0.323    0.094
1398.788    0.247    0.154    0.121    0.197
1400.189    0.472    0.211    0.444    0.190
1401.107    0.401    0.109    0.544    0.110
1401.589    0.381    0.189    0.426    0.226
1403.001    0.357    0.174    0.317    0.249
1404.371    0.339    0.167    0.271    0.180
1405.787    1.035    0.129    0.633    0.137
1407.168    1.018    0.110    0.710    0.135
1408.548    1.011    0.115    0.667    0.134
1409.892    1.028    0.060    0.527    0.097
1409.919    1.048    0.114    0.554    0.144
1411.296    1.075    0.106    0.528    0.151
1412.658    0.958    0.101    0.481    0.126
1412.811    1.004    0.059    0.451    0.093
1414.019    0.948    0.102    0.484    0.127
1415.379    0.966    0.094    0.512    0.131
1416.730    0.989    0.092    0.509    0.130
1418.048    1.040    0.093    0.430    0.131
1418.623    1.022    0.054    0.429    0.090
1419.417    1.025    0.091    0.453    0.130
1420.745    1.196    0.115    0.911    0.155
1421.517    0.950    0.106    0.789    0.085
1422.078    0.701    0.158    0.634    0.121
1423.397    0.606    0.164    0.572    0.135
1424.722    0.749    0.168    0.675    0.140
1426.038    0.762    0.173    0.654    0.143
1427.294    0.949    0.101    0.737    0.083
1427.347    1.105    0.132    0.705    0.118
1428.654    0.936    0.185    0.572    0.125
1429.961    1.116    0.133    0.654    0.120
1430.171    0.982    0.108    0.561    0.085
1431.226    1.031    0.173    0.658    0.127
1432.537    1.053    0.159    0.695    0.126
1433.035    0.975    0.124    0.569    0.090
1433.814    0.984    0.194    0.625    0.125
1435.096    1.108    0.138    0.664    0.120
1435.913    0.923    0.159    0.525    0.108
1436.370    0.991    0.179    0.646    0.120
1437.650    0.880    0.204    0.602    0.112
1438.902    1.000    0.166    0.668    0.128
