   W                 M1-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1075.227   -0.583    0.115    0.004    0.125
1077.319   -0.814    0.121    0.018    0.143
1079.346   -1.007    0.141   -0.039    0.154
1081.387   -1.255    0.158   -0.014    0.185
1083.424   -1.321    0.184    0.028    0.210
1085.449   -1.573    0.157    0.043    0.513
1087.487   -1.537    0.189    0.130    0.469
1089.521   -1.543    0.161   -0.046    0.475
1091.535   -1.825    0.171   -0.024    0.600
1093.579   -1.705    0.167   -0.043    0.469
1095.610   -1.559    0.163   -0.049    0.455
1097.646   -1.636    0.152    0.059    0.492
1099.619   -1.864    0.165    0.109    0.426
1101.699   -1.632    0.165    0.112    0.359
1103.707   -2.180    0.159   -0.068    0.493
1105.729   -1.631    0.155    0.267    0.392
1107.755   -1.832    0.158    0.086    0.502
1109.760   -2.618    0.172    0.011    0.579
1111.796   -2.636    0.186    0.070    0.533
1113.795   -2.404    0.188    0.117    0.613
1115.823   -2.292    0.261    0.006    0.641
1117.839   -2.556    0.222   -0.172    0.562
1119.860   -2.288    0.208    0.039    0.623
1121.878   -2.236    0.263    0.219    0.797
1123.833   -3.094    0.282   -0.088    0.561
1125.893   -2.288    0.409    0.323    0.890
1127.891   -2.804    0.439    0.154    0.549
1129.903   -2.860    0.450    0.089    1.088
1131.911   -2.667    0.428    0.036    0.610
1133.915   -2.681    0.347    0.043    0.872
1135.841   -2.904    0.389    0.161    0.625
1135.916   -2.889    0.422    0.162    0.629
1137.913   -2.955    0.509    0.153    1.047
1139.396   -3.116    0.365    0.153    0.740
1139.923   -2.586    0.447    0.055    0.986
1141.905   -3.016    0.540    0.302    0.793
1142.931   -3.059    0.356    0.067    0.849
1143.916   -2.938    0.478    0.144    1.278
1145.916   -2.951    0.440    0.207    0.729
1146.464   -2.869    0.477    0.091    1.209
1147.855   -2.986    0.478    0.131    0.733
1149.905   -2.438    0.338    0.481    0.846
1149.986   -2.369    0.389    0.529    0.949
1151.886   -3.186    0.326    0.253    0.759
1153.497   -2.585    0.406    0.199    0.885
1153.880   -2.316    0.332    0.533    0.712
1155.862   -2.491    0.461    0.144    1.046
1157.006   -2.814    0.421    0.270    0.867
1157.849   -2.635    0.423    0.512    0.926
1159.841   -2.716    0.432    0.478    0.902
1160.504   -2.757    0.440    0.525    0.858
1161.821   -3.557    0.407   -0.002    0.825
1163.798   -3.431    0.472    0.208    0.841
1163.991   -3.476    0.416    0.161    0.777
1165.780   -2.550    0.476    0.267    0.809
1167.468   -2.710    0.511    0.492    0.962
1167.758   -2.909    0.432    0.283    0.838
1169.733   -2.676    0.444    0.483    0.733
1170.951   -3.120    0.536    0.155    0.903
1171.680   -3.068    0.586    0.086    1.029
1173.680   -2.673    0.461    0.608    0.746
1174.336   -3.460    0.561    0.274    0.762
1175.653   -3.028    0.494   -0.071    0.596
1177.631   -2.577    0.471    0.397    0.623
1177.870   -2.987    0.567   -0.204    0.793
1179.597   -2.875    0.484    0.677    0.611
1181.306   -1.996    0.664    1.075    0.796
1181.560   -2.278    0.504    1.361    0.622
1183.528   -3.113    0.477    0.166    0.612
1184.748   -2.245    0.717    0.686    0.750
1185.493   -2.465    0.455   -0.641    0.565
1187.454   -2.957    0.465   -0.327    0.563
1188.180   -2.507    0.733    0.749    0.733
1189.412   -2.593    0.534    1.278    0.578
1191.366   -3.599    0.485    0.045    0.558
1191.603   -3.530    0.740    0.388    0.639
1193.334   -3.643    0.499   -0.160    0.540
1195.015   -3.327    0.803   -0.449    0.616
1195.235   -2.382    0.616    0.768    0.485
1197.235   -3.232    0.612    0.078    0.452
1198.426   -3.639    0.769    0.308    0.660
1199.193   -2.156    0.685    1.980    0.493
1201.038   -3.052    0.626   -0.230    0.448
1201.819   -3.338    0.764    0.271    0.633
1202.950   -4.241    0.575   -0.770    0.405
1204.852   -1.959    0.625    0.890    0.440
1205.210   -3.105    0.785   -0.641    0.603
1206.751   -4.496    0.688    1.681    0.408
1208.600   -4.468    0.899    0.559    0.513
1208.646   -4.703    0.673    1.250    0.383
1210.539   -4.768    0.753    1.585    0.387
1211.987   -4.300    0.931   -0.571    0.473
1212.429   -3.984    0.729    1.443    0.351
1214.315   -4.615    0.738    1.464    0.345
1215.273   -3.689    0.887    0.722    0.455
1216.207   -5.100    0.723    1.123    0.333
1218.049   -3.040    0.849    1.382    0.296
1218.712   -2.549    0.987    0.920    0.404
1219.951   -2.993    0.847    0.986    0.298
1221.826   -3.064    0.704    0.955    0.288
1222.048   -2.709    0.719   -0.354    0.346
1223.690   -2.311    0.737    1.299    0.273
1225.399   -3.179    0.845   -2.123    0.460
1225.560   -2.277    0.883    1.780    0.274
1227.419   -2.645    0.802    1.742    0.277
1228.733   -2.031    0.630   -0.945    0.322
1229.275   -3.270    0.712    2.139    0.303
1231.128   -3.431    0.872    1.929    0.825
1232.065   -1.303    0.874    1.898    0.358
1232.979   -3.476    0.879    1.896    0.724
1234.819   -3.057    0.781    1.396    0.314
1235.389   -2.542    1.221    1.891    0.401
1236.664   -2.968    0.769    1.495    0.349
1238.514   -2.722    0.830    0.516    0.319
1238.696   -3.024    0.899    1.739    0.378
1240.301   -3.232    0.693    0.626    0.344
1242.009   -2.656    1.022   -0.642    0.408
1242.183   -3.202    0.750    0.951    0.335
1244.002   -2.948    1.019    1.485    0.403
1245.306   -3.421    1.020    1.910    0.445
1245.826   -3.564    0.839    1.013    0.363
1247.647   -1.614    0.872    0.220    0.388
1248.594   -1.953    1.058    2.813    0.528
1249.466   -3.099    0.909    1.579    0.507
1251.274   -2.605    0.772    1.135    0.429
1251.896   -2.337    0.926    2.346    0.516
1253.095   -2.396    0.717    0.786    0.421
1254.883   -2.759    0.734    1.736    0.427
1255.085   -2.696    0.810    2.219    0.471
1256.684   -2.588    0.652    1.621    0.413
1258.437   -2.433    0.810    2.215    0.453
1258.482   -2.539    0.656    1.512    0.402
1260.285   -2.974    0.549    1.324    0.387
1261.691   -2.598    0.638    2.258    0.433
1262.026   -2.523    0.521    1.185    0.384
1263.861   -3.046    0.759    0.402    0.753
1264.944   -2.083    1.183    2.460    0.721
1265.649   -2.708    0.663    0.241    0.477
1267.412   -2.107    0.626    1.279    0.498
1268.189   -2.162    0.817    2.001    0.594
1269.187   -2.101    0.693    0.563    0.521
1270.960   -1.715    0.634    0.505    0.507
1271.433   -2.963    0.797    2.393    0.599
1272.731   -1.871    0.615    1.642    0.540
1274.477   -1.550    0.580    0.158    0.476
1274.661   -1.975    0.711    1.368    0.543
1276.250   -1.544    0.527    0.917    0.480
1278.006   -1.996    0.675    1.566    0.695
1279.752   -1.603    0.609    1.249    0.604
1281.108   -2.148    0.634    1.421    0.560
1281.510   -2.095    0.539    0.015    0.473
1283.215   -1.965    0.688    1.351    0.683
1284.319   -2.031    0.567    1.307    0.555
1284.991   -1.701    0.548    0.851    0.559
1286.720   -1.791    0.629    0.972    0.623
1287.522   -1.619    0.547   -0.226    0.462
1288.447   -1.463    0.538    0.021    0.525
1290.179   -1.473    0.561    0.327    0.532
1290.724   -1.324    0.518   -0.362    0.478
1291.902   -1.575    0.733    1.005    0.767
1293.614   -1.563    0.740    1.068    0.779
1293.846   -1.675    0.603    1.394    0.576
1295.332   -1.566    0.699    1.194    0.672
1297.041   -0.922    0.458    0.914    0.480
1297.098   -0.516    0.390    0.107    0.404
1298.754   -0.912    0.484    0.895    0.505
1300.263   -0.647    0.381   -0.117    0.415
1300.450   -1.095    0.492    0.775    0.524
1302.152   -0.904    0.462    0.193    0.509
1303.434   -0.496    0.425    0.232    0.468
1303.816   -1.640    0.555    0.229    0.499
1305.542   -1.271    0.550    0.280    0.523
1306.590   -1.458    0.537    0.835    0.444
1307.222   -0.086    0.413    1.810    0.435
1308.901   -0.738    0.497    1.427    0.472
1309.746   -1.717    0.839    1.244    0.511
1310.577   -1.063    0.698    0.824    0.643
1312.251   -0.930    0.692    0.742    0.638
1312.895   -1.571    0.821    1.030    0.516
1313.916   -1.279    0.840    1.040    0.632
1315.579   -1.155    0.807    0.845    0.671
1316.035   -1.340    0.801    0.830    0.523
1317.240   -0.739    0.772    0.702    0.789
1318.898   -0.346    0.630    0.282    0.640
1320.548   -1.514    0.731    1.573    0.713
1322.174   -1.118    0.697    1.261    0.678
1323.847   -0.918    0.674    1.094    0.656
1325.406   -0.640    0.462    0.962    0.473
1325.477   -0.961    0.703    1.346    0.677
1327.118   -0.889    0.706    1.359    0.649
1328.531   -0.475    0.463    0.889    0.479
1328.743   -0.968    0.736    1.447    0.664
1330.373   -0.746    0.688    1.265    0.686
1331.557   -0.511    0.508    1.097    0.528
1331.987   -0.738    0.681    1.388    0.659
1333.606   -0.604    0.684    1.169    0.611
1334.732   -1.208    0.589    2.347    0.484
1335.217   -1.010    0.654    1.605    0.576
1336.825   -0.918    0.742    1.613    0.745
1337.807   -1.001    0.802    2.318    0.601
1338.438   -1.148    0.720    1.743    0.741
1340.000   -1.259    0.862    1.897    0.713
