   W                 E2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1269.187   -0.877    0.406   -0.093    0.486
1270.960   -0.662    0.419   -0.562    0.489
1271.433   -0.509    0.501   -0.765    0.519
1272.731   -0.666    0.466    0.054    0.559
1274.477   -1.107    0.401    0.181    0.490
1274.661   -0.970    0.470    0.200    0.540
1276.250   -0.355    0.441   -0.293    0.498
1278.006   -0.234    0.476   -0.478    0.547
1279.752   -0.841    0.528    0.590    0.599
1281.108   -0.704    0.486    0.347    0.477
1281.510   -0.222    0.425   -0.313    0.419
1283.215   -0.773    0.616    0.536    0.585
1284.319   -0.505    0.463    0.152    0.484
1284.991   -0.252    0.463    0.688    0.551
1286.720   -0.595    0.503    0.875    0.644
1287.522    0.073    0.425    0.355    0.447
1288.447   -0.333    0.464    0.346    0.513
1290.179   -0.234    0.459    0.240    0.507
1290.724   -0.590    0.450    0.180    0.435
1291.902   -0.296    0.521    0.742    0.687
1293.614   -0.275    0.523    0.765    0.675
1293.846   -0.307    0.419    0.891    0.410
1295.332   -0.442    0.451    0.613    0.485
1297.041   -0.666    0.405    0.597    0.418
1297.098   -0.647    0.388   -0.021    0.394
1298.754   -0.845    0.422    0.464    0.426
1300.263   -0.743    0.370   -0.071    0.375
1300.450   -0.820    0.425    0.504    0.423
1302.152   -0.789    0.402    0.357    0.434
1303.434   -1.634    0.364   -0.422    0.330
1303.816   -0.802    0.470    0.744    0.388
1305.542   -0.817    0.459    0.422    0.394
1306.590   -1.208    0.469    0.703    0.366
1307.222   -1.065    0.467    0.196    0.383
1308.901   -0.907    0.447    0.367    0.363
1309.746   -0.938    0.554    0.578    0.366
1310.577   -0.998    0.479    0.188    0.421
1312.251   -1.016    0.475    0.189    0.416
1312.895   -0.919    0.543    0.570    0.363
1313.916   -0.860    0.532    0.328    0.385
1315.579   -0.780    0.527    0.046    0.390
1316.035   -0.891    0.545    0.582    0.375
1317.240   -0.983    0.688    0.032    0.666
1318.898   -1.397    0.482    0.228    0.437
1320.548   -1.254    0.498   -0.019    0.432
1322.174   -1.239    0.510    0.032    0.423
1323.847   -1.242    0.494    0.052    0.416
1325.406   -0.697    0.404   -0.005    0.408
1325.477   -0.727    0.612    0.545    0.612
1327.118   -0.955    0.598    0.903    0.618
1328.531   -0.654    0.405   -0.010    0.406
1328.743   -0.889    0.642    0.917    0.629
1330.373   -0.655    0.628    0.575    0.614
1331.557   -0.738    0.443    0.089    0.433
1331.987   -0.719    0.606    0.790    0.579
1333.606   -0.831    0.595    0.993    0.591
1334.732   -0.722    0.401    0.738    0.374
1335.217   -1.083    0.436    0.256    0.601
1336.825   -0.914    0.574    0.301    0.711
1337.807   -0.621    0.692    0.823    0.513
1338.438   -0.774    0.666    0.164    0.704
1340.000   -0.635    0.566    0.388    0.625
1340.896   -0.980    0.513    0.368    0.436
1341.631   -0.824    0.700    0.307    0.702
1343.211   -0.855    0.531    0.276    0.583
1343.972   -0.552    0.334    0.366    0.458
1344.809   -0.892    0.557    0.216    0.612
1346.378   -0.815    0.608    0.347    0.646
1347.040   -0.571    0.419    0.653    0.428
1347.959   -0.891    0.521    0.196    0.580
1349.531   -0.684    0.477    0.497    0.515
1350.101   -0.703    0.593    0.610    0.524
1351.095   -0.886    0.498    0.054    0.530
1352.663   -0.665    0.593    0.522    0.628
1353.156   -0.748    0.598    0.527    0.527
1354.223   -0.784    0.492    0.354    0.567
1355.767   -0.744    0.623    0.657    0.626
1356.203   -0.582    0.419    0.799    0.328
1357.296   -0.568    0.611    0.650    0.628
1358.864   -0.627    0.652    0.670    0.649
1359.244   -0.539    0.573    0.863    0.572
1360.410   -0.564    0.523    0.947    0.563
1361.954   -0.372    0.574    0.707    0.641
1362.285   -0.485    0.595    0.835    0.573
1363.469   -0.374    0.567    0.689    0.622
1364.996   -0.275    0.483    0.627    0.633
1366.528   -0.983    0.637    0.621    0.591
1368.030   -0.707    0.538    0.432    0.521
1368.264   -1.010    0.598    0.697    0.680
1369.545   -0.947    0.563    0.751    0.547
1371.065   -0.938    0.635    0.811    0.592
1371.353   -0.714    0.311    0.705    0.421
1372.556   -0.867    0.637    0.909    0.609
1374.032   -0.883    0.625    0.859    0.589
1374.353   -0.512    0.558    1.057    0.506
1375.561   -0.672    0.552    1.020    0.506
1377.034   -0.811    0.568    0.988    0.514
