   W                 E3-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1075.227   -0.024    0.107   -0.053    0.108
1077.319   -0.064    0.095   -0.084    0.120
1079.346    0.033    0.106   -0.171    0.061
1081.387    0.026    0.171   -0.063    0.109
1083.424    0.170    0.136    0.040    0.086
1085.449    0.029    0.076   -0.067    0.136
1087.487    0.106    0.082    0.097    0.070
1089.521    0.180    0.075   -0.071    0.073
1091.535    0.164    0.085    0.145    0.062
1093.579    0.204    0.079    0.208    0.053
1095.610    0.446    0.065    0.013    0.088
1097.646    0.070    0.074   -0.202    0.055
1099.619    0.232    0.075    0.244    0.050
1101.699    0.222    0.074    0.290    0.041
1103.707    0.426    0.073   -0.450    0.145
1105.729    0.142    0.078    0.380    0.037
1107.755    0.617    0.064   -0.049    0.125
1109.760    0.470    0.075    0.016    0.112
1111.796    0.610    0.078    0.249    0.079
1113.795    0.335    0.073    0.413    0.172
1115.823    0.437    0.098    0.689    0.153
1117.839    0.148    0.097   -0.039    0.103
1119.860    0.501    0.091   -0.131    0.122
1121.878    0.521    0.116    0.100    0.141
1123.833    0.568    0.115   -0.027    0.157
1125.893    0.452    0.161    0.399    0.139
1127.891   -0.173    0.160    0.642    0.137
1129.903    0.596    0.130    0.317    0.217
1131.911    0.212    0.128    0.428    0.247
1133.915    0.861    0.125    0.925    0.197
1135.841    0.021    0.128    0.520    0.123
1135.916    0.142    0.141    0.463    0.129
1137.913   -0.081    0.140    0.163    0.126
1139.396    1.162    0.113    0.095    0.258
1139.923    0.533    0.104    0.473    0.299
1141.905   -0.340    0.131   -0.107    0.138
1142.931    1.334    0.102   -0.234    0.340
1143.916   -0.951    0.137    0.317    0.270
1145.916    0.213    0.147    0.272    0.238
1146.464   -0.335    0.135    0.685    0.173
1147.855   -0.405    0.160    0.486    0.175
1149.905    0.495    0.125   -0.516    0.214
1149.986    0.401    0.142   -0.356    0.273
1151.886    0.996    0.109    0.091    0.280
1153.497    0.379    0.160    0.754    0.187
